QM Energy	FF Energy
     -0.00319448     -0.00383342
     -0.00230468     -0.00225977
     -0.00113466     -0.00101539
    -0.000466066    -0.000395904
     -6.9354e-05    -5.49178e-05
     -1.0575e-05    -7.75419e-06
      -1.788e-06    -1.24799e-06
        -7.2e-08    -7.23435e-08
      -0.0033929     -0.00377823
     -0.00139221        -0.00138
    -0.000511785    -0.000500102
     -0.00018037    -0.000180675
     -2.1654e-05    -2.34336e-05
      -2.615e-06     -3.1653e-06
       -5.04e-07    -5.95003e-07
        -3.3e-08    -4.88797e-08
           5e-09    -2.05856e-09
     -0.00201921       -0.003556
     -0.00281229     -0.00255418
     -0.00135761     -0.00116088
    -0.000496497    -0.000431707
     -6.7565e-05    -6.13159e-05
     -1.0459e-05    -9.66799e-06
      -2.031e-06    -1.88059e-06
        -1.6e-07    -1.67737e-07
     -0.00890376     -0.00885587
     -0.00373131     -0.00331178
     -0.00139314     -0.00119827
    -0.000508619    -0.000438453
      -7.028e-05    -6.21752e-05
     -0.00250861     -0.00261636
    -0.000774395    -0.000673851
     -0.00030863    -0.000270531
     -4.3714e-05    -4.03012e-05
      -0.0028362     -0.00337931
     -0.00119003     -0.00127838
     -0.00044539    -0.000484625
    -0.000163617    -0.000186802
      -2.368e-05     -2.9132e-05
     -0.00430793     -0.00487689
     -0.00180427     -0.00178316
    -0.000671559    -0.000644681
    -0.000240453    -0.000233321
     -3.1141e-05    -3.13851e-05
    -0.000934639     -0.00143423
    -0.000373664    -0.000568155
     -0.00014407    -0.000223579
     -2.2662e-05    -3.51247e-05
      -4.402e-06     -6.0746e-06
      -1.117e-06    -1.30607e-06
       -1.25e-07    -1.40865e-07
           4e-09    -8.10177e-09
       -0.000911    -0.000931966
     -4.2622e-05    -5.27884e-05
      -0.0027485     -0.00188341
    -0.000116196    -9.64487e-05
    -0.000523985    -0.000455396
      -0.0019124     -0.00185813
     -9.9669e-05     -0.00010388
    -0.000572622    -0.000563826
     -0.00190316      -0.0020154
    -0.000103975    -0.000114478
    -0.000582717     -0.00061645
     -0.00163479     -0.00181725
     -9.0914e-05    -0.000106821
    -0.000504984    -0.000565994
     -0.00192536     -0.00203027
    -0.000106923    -0.000114583
    -0.000593771    -0.000618829
     -0.00148883     -0.00155084
     -7.9485e-05    -9.18439e-05
    -0.000451507    -0.000485571
     -0.00171124     -0.00178113
     -8.9909e-05    -9.55432e-05
    -0.000519174    -0.000536361
    -0.000773335       -0.001069
     -4.1854e-05    -6.50262e-05
    -0.000236893    -0.000338841
    -0.000768531     -0.00121459
     -4.3317e-05    -7.44176e-05
      -0.0002401    -0.000385882
    -0.000765857     -0.00124985
     -4.4541e-05    -7.66231e-05
    -0.000241505    -0.000396571
    -0.000726996     -0.00121504
     -4.2205e-05    -7.50785e-05
    -0.000229599    -0.000387284
    -0.000763659     -0.00112693
     -4.3641e-05     -6.8748e-05
      -0.0002378    -0.000356529
     -0.00071941     -0.00114285
     -3.4371e-05     -6.4484e-05
    -0.000214808    -0.000354758
     -0.00182945      -0.0017568
     -9.4816e-05    -9.91551e-05
    -0.000547156    -0.000535906
     -0.00190607      -0.0019814
    -0.000105577    -0.000111661
    -0.000588143    -0.000603895
      -0.0018386     -0.00195833
    -0.000102911    -0.000111149
    -0.000569354    -0.000598742
     -9.6042e-05    -0.000107386
    -0.000532851    -0.000573201
     -0.00172259      -0.0017234
     -9.0996e-05    -9.85267e-05
    -0.000518519     -0.00052864
     -0.00183929     -0.00189293
      -9.927e-05    -9.90358e-05
    -0.000563644    -0.000562749
    -0.000970945     -0.00102703
     -4.3493e-05    -5.85463e-05
    -0.000276115     -0.00031734
     -0.00102217     -0.00117384
     -4.8359e-05    -6.76878e-05
    -0.000297768    -0.000363799
     -0.00105188     -0.00123515
     -5.1254e-05    -7.07659e-05
    -0.000309825    -0.000380762
     -0.00108576     -0.00124807
     -5.2593e-05    -7.13322e-05
    -0.000318081    -0.000384372
     -0.00103152     -0.00112441
     -4.8855e-05    -6.35965e-05
     -0.00029902     -0.00034444
     -0.00106644    -0.000975872
     -4.6768e-05    -5.55626e-05
    -0.000304713    -0.000311112
    -0.000688731    -0.000920196
     -2.8342e-05    -5.32664e-05
    -0.000197821     -0.00028939
    -0.000694812     -0.00104126
     -2.9634e-05    -6.08065e-05
    -0.000203935    -0.000328293
    -0.000669726     -0.00104473
     -2.9541e-05    -6.15393e-05
    -0.000198041    -0.000330122
    -0.000678202     -0.00104396
     -2.9705e-05    -6.13714e-05
    -0.000200593     -0.00032975
    -0.000648932    -0.000928767
     -2.8581e-05    -5.47127e-05
    -0.000189413    -0.000293373
    -0.000665896     -0.00105388
     -3.0108e-05    -6.07706e-05
    -0.000198061    -0.000330188
    -0.000880251    -0.000927642
     -3.8031e-05    -5.44348e-05
    -0.000248213    -0.000292139
    -0.000969752     -0.00110226
     -4.6007e-05    -6.44751e-05
    -0.000284266    -0.000345348
     -0.00107665     -0.00125465
     -5.3641e-05    -7.16219e-05
    -0.000319764    -0.000386435
     -0.00101559     -0.00115566
     -0.00103932     -0.00117203
     -4.9875e-05    -6.62627e-05
    -0.000301845    -0.000358507
     -0.00103844     -0.00110245
    -0.000619108    -0.000783895
     -1.6368e-05    -4.39782e-05
    -0.000157037    -0.000245061
    -0.000654155    -0.000881241
     -1.8801e-05    -4.98576e-05
    -0.000171497    -0.000276201
    -0.000645326     -0.00088138
     -1.9026e-05    -5.01537e-05
    -0.000169794    -0.000276677
    -0.000654718    -0.000884603
     -1.9315e-05    -5.02477e-05
    -0.000171974    -0.000277493
    -0.000604737    -0.000786984
     -1.6929e-05    -4.46578e-05
    -0.000154801    -0.000246733
    -0.000683982    -0.000897609
     -2.8467e-05    -5.25594e-05
    -0.000196004    -0.000283467
    -0.000666344    -0.000890321
     -1.9023e-05     -5.0141e-05
    -0.000173956    -0.000278578
     -2.1427e-05     -5.6751e-05
    -0.000189814    -0.000314232
    -0.000696091     -0.00100015
     -2.1451e-05    -5.68494e-05
    -0.000188154    -0.000313834
    -0.000694886     -0.00100154
     -2.1389e-05     -5.6832e-05
    -0.000188061    -0.000314111
    -0.000655384    -0.000886378
     -1.9344e-05    -5.03547e-05
    -0.000172744    -0.000278092
    -0.000702854     -0.00105767
     -3.1306e-05    -6.17032e-05
    -0.000207885    -0.000332763
    -0.000615524    -0.000777514
     -1.6057e-05    -4.35676e-05
    -0.000156511    -0.000243142
    -0.000658967    -0.000881207
     -1.8828e-05    -4.96935e-05
    -0.000173046    -0.000275972
    -0.000650323    -0.000884974
     -1.9228e-05    -5.02741e-05
    -0.000170799    -0.000277624
    -0.000596157    -0.000787098
     -1.6807e-05    -4.47519e-05
    -0.000152414    -0.000246914
     -0.00164641      -0.0018207
     -9.2429e-05     -0.00010629
    -0.000511151    -0.000565453
     -0.00192099     -0.00201928
    -0.000105897    -0.000113917
    -0.000590865    -0.000615773
     -0.00454135     -0.00235025
    -0.000213067    -9.48537e-05
     -0.00138932    -0.000470066
    -0.000761768     -0.00124738
     -4.4123e-05     -7.6194e-05
    -0.000239975    -0.000395369
    -0.000768294     -0.00121201
     -4.3251e-05    -7.40407e-05
    -0.000240006     -0.00038477
     -0.00181417     -0.00194043
     -9.7828e-05    -0.000111453
    -0.000551236     -0.00059658
     -0.00188068     -0.00196314
     -0.00010033    -0.000111938
    -0.000569454    -0.000601638
     -0.00108519     -0.00123679
     -5.3916e-05    -6.97412e-05
     -0.00032308    -0.000379205
     -0.00104909      -0.0011759
     -5.0625e-05    -6.67112e-05
    -0.000309032    -0.000362496
     -0.00219483     -0.00172226
    -0.000658163    -0.000518967
    -0.000667624     -0.00103973
     -2.8862e-05    -6.10426e-05
    -0.000196143      -0.0003283
     -0.00069201     -0.00103701
     -2.8956e-05    -6.03464e-05
    -0.000201927    -0.000326674
     -4.8388e-05    -6.72008e-05
    -0.000297121    -0.000359769
     -0.00104334     -0.00124482
     -5.1667e-05     -7.1164e-05
    -0.000309257    -0.000383689
    -0.000937243     -0.00109222
     -4.4121e-05    -6.39992e-05
    -0.000274069    -0.000342495
     -5.0148e-05    -5.91015e-05
    -0.000309706    -0.000336489
    -0.000659841    -0.000886298
      -1.913e-05    -5.01283e-05
    -0.000172545    -0.000277658
    -0.000669871    -0.000885126
     -1.8933e-05    -4.97709e-05
    -0.000174507    -0.000276876
     -0.00239464     -0.00219134
    -0.000123308    -0.000121952
    -0.000688904    -0.000996339
     -2.0926e-05    -5.65806e-05
    -0.000185679    -0.000312622
    -0.000698237      -0.0010001
     -2.0892e-05    -5.65392e-05
    -0.000187225    -0.000313337
    -0.000652827    -0.000882253
     -1.9085e-05    -5.00385e-05
    -0.000172097    -0.000276695
      -0.0006396    -0.000881179
      -1.858e-05    -5.00179e-05
    -0.000167442    -0.000276429
    -0.000648566    -0.000877379
     -1.8192e-05    -4.94317e-05
    -0.000709143     -0.00092316
     -2.9964e-05    -5.35779e-05
    -0.000203777    -0.000290188
     -0.00190268     -0.00201255
    -0.000102978    -0.000114277
     -0.00057934    -0.000615457
    -0.000568532    -0.000570911
      -0.0017246     -0.00190024
     -9.6562e-05    -0.000100471
    -0.000537885    -0.000567028
     -0.00243144     -0.00179465
    -0.000113983    -9.05804e-05
    -0.000733601    -0.000533327
     -0.00176967     -0.00192052
      -8.817e-05    -9.07732e-05
    -0.000540091      -0.0005613
     -0.00262434     -0.00236831
    -0.000146322    -0.000106478
    -0.000860299    -0.000677079
    -0.000730908     -0.00121164
      -4.195e-05    -7.42718e-05
    -0.000229923    -0.000385238
    -0.000756852     -0.00115592
     -3.5807e-05    -6.54188e-05
    -0.000224036    -0.000358906
    -0.000746013     -0.00119153
     -3.6695e-05    -6.82053e-05
    -0.000222867    -0.000370603
     -0.00204263     -0.00204843
    -0.000104156    -9.60215e-05
    -0.000627612    -0.000594533
     -0.00110369     -0.00145594
     -5.1323e-05    -7.34814e-05
       -0.000327    -0.000434766
      -0.0011614     -0.00136104
     -4.8972e-05    -6.93772e-05
    -0.000334087    -0.000414835
     -0.00170282      -0.0018363
     -9.2601e-05    -0.000107093
     -0.00052066    -0.000569865
     -0.00163873     -0.00179105
     -9.1239e-05      -9.456e-05
     -0.00162113     -0.00166774
     -8.5389e-05    -9.04776e-05
    -0.000499408     -0.00051189
     -0.00351777     -0.00235645
    -0.000185376     -0.00010669
     -0.00113113    -0.000638017
     -0.00108847     -0.00124062
     -5.3387e-05    -6.98475e-05
    -0.000321503    -0.000380147
    -0.000953613     -0.00109662
     -4.7014e-05     -6.1318e-05
    -0.000284367    -0.000338417
     -0.00108014     -0.00125014
     -5.6107e-05    -6.85323e-05
    -0.000325154    -0.000377963
     -0.00131271     -0.00139042
     -6.4681e-05    -7.25531e-05
    -0.000390379    -0.000416541
     -0.00139671      -0.0014306
     -7.1653e-05    -7.34645e-05
    -0.000428254    -0.000428513
     -2.8384e-05    -6.03783e-05
    -0.000197066    -0.000326178
    -0.000662307     -0.00106481
     -3.0899e-05    -6.18522e-05
    -0.000198678    -0.000334187
    -0.000628573     -0.00108455
      -3.126e-05    -6.39631e-05
    -0.000192352    -0.000341614
      -0.0023366     -0.00237722
    -0.000131904    -0.000125156
    -0.000726117     -0.00070789
     -0.00108204     -0.00154598
      -5.984e-05    -8.80091e-05
    -0.000922942     -0.00146606
     -5.2538e-05    -8.39691e-05
     -0.00101204     -0.00114862
      -4.877e-05    -6.57815e-05
    -0.000298547    -0.000355862
     -0.00112181     -0.00098703
     -4.9698e-05    -5.62077e-05
    -0.000321488    -0.000315033
    -0.000971626     -0.00105603
     -4.7862e-05    -6.01334e-05
     -0.00029001    -0.000329523
     -0.00237983     -0.00190248
    -0.000115099    -9.35759e-05
    -0.000704887    -0.000557582
    -0.000658707    -0.000885847
     -1.8766e-05    -4.99712e-05
    -0.000171382    -0.000277312
    -0.000680938    -0.000927639
     -2.9865e-05    -5.43267e-05
    -0.000198148    -0.000292227
    -0.000685777     -0.00095747
     -3.1379e-05    -5.62862e-05
    -0.000201264    -0.000301419
    -0.000713223    -0.000668268
      -0.0011506     -0.00142601
     -6.3408e-05    -8.46293e-05
    -0.000352614     -0.00044523
     -0.00109697     -0.00137801
     -6.1776e-05    -8.20146e-05
    -0.000339935    -0.000431042
    -0.000679872    -0.000994857
     -2.0338e-05    -5.63348e-05
    -0.000183032    -0.000311937
    -0.000713983     -0.00106129
     -3.2087e-05     -6.2122e-05
    -0.000211365    -0.000334238
    -0.000703333     -0.00105606
     -3.2005e-05    -6.24115e-05
    -0.000208964    -0.000333785
    -0.000658109    -0.000882393
    -0.000697041    -0.000903825
     -2.9439e-05    -5.30512e-05
    -0.000200498    -0.000285557
    -0.000681204    -0.000926524
     -3.0324e-05     -5.4682e-05
