QM Energy	FF Energy
      -0.0087648     -0.00884194
      -0.0059155     -0.00617844
     -0.00373788     -0.00393116
     -0.00228199     -0.00235443
    -0.000849411    -0.000826044
    -0.000335083    -0.000314926
    -0.000144716    -0.000135504
     -3.5751e-05    -3.42097e-05
     -0.00919694     -0.00921561
     -0.00527221     -0.00548085
     -0.00304541      -0.0031672
     -0.00177524      -0.0018171
    -0.000628669    -0.000619459
    -0.000241738    -0.000231772
    -0.000110119    -0.000102558
     -3.0041e-05     -2.6874e-05
      -4.369e-06    -3.72522e-06
     -0.00884633     -0.00877877
     -0.00620028     -0.00615767
     -0.00372922     -0.00382315
     -0.00218197     -0.00223087
    -0.000789289    -0.000771496
    -0.000311811    -0.000293789
    -0.000136185     -0.00012682
     -3.4258e-05    -3.24584e-05
      -0.0120433       -0.010944
     -0.00665875     -0.00657838
     -0.00379842     -0.00386521
     -0.00221714      -0.0022457
    -0.000800974    -0.000776487
     -0.00755238     -0.00734635
     -0.00313366     -0.00323354
     -0.00190797     -0.00195819
      -0.0007086     -0.00069804
     -0.00939803     -0.00937817
      -0.0053736     -0.00544528
     -0.00310597     -0.00311077
     -0.00182687      -0.0017938
    -0.000674725    -0.000641641
      -0.0101908      -0.0102857
     -0.00581078     -0.00605212
     -0.00334777     -0.00346499
     -0.00195066     -0.00197502
       -0.000696    -0.000674131
     -0.00516396     -0.00521179
     -0.00305544     -0.00305539
     -0.00183089     -0.00179677
    -0.000688911    -0.000654493
    -0.000281016    -0.000264731
    -0.000125929    -0.000119637
     -3.2873e-05    -3.20221e-05
      -4.524e-06    -4.50279e-06
     -0.00542857     -0.00548741
     -0.00113764     -0.00108661
     -0.00680382      -0.0068368
     -0.00133086     -0.00136894
     -0.00415027     -0.00422248
     -0.00568085     -0.00565438
     -0.00118747     -0.00114908
       -0.002925     -0.00292478
     -0.00574469     -0.00573826
     -0.00121157     -0.00117106
     -0.00296977     -0.00297411
     -0.00568797      -0.0056823
     -0.00120078     -0.00116224
     -0.00294167     -0.00294633
     -0.00574807     -0.00575193
     -0.00121434     -0.00117222
     -0.00297564     -0.00297797
     -0.00560089     -0.00560566
     -0.00117236      -0.0011394
     -0.00288547     -0.00289733
     -0.00611773     -0.00631288
     -0.00132735      -0.0012758
       -0.003211     -0.00325437
     -0.00476967     -0.00481868
     -0.00103925    -0.000999571
     -0.00250249     -0.00248565
     -0.00484139     -0.00491465
     -0.00106288     -0.00102215
     -0.00254921     -0.00253839
     -0.00485156     -0.00492293
     -0.00106502     -0.00102481
     -0.00255512     -0.00254427
     -0.00482233     -0.00489787
     -0.00105983     -0.00102087
     -0.00253987     -0.00253277
     -0.00478673     -0.00484005
     -0.00104275     -0.00100447
     -0.00251198     -0.00249782
     -0.00529455     -0.00553181
     -0.00118395     -0.00113041
     -0.00281674     -0.00283521
     -0.00565271     -0.00562085
      -0.0011822     -0.00114383
      -0.0029122     -0.00290815
     -0.00573628     -0.00574465
     -0.00121329      -0.0011697
     -0.00297188     -0.00297191
     -0.00573369     -0.00574794
     -0.00121256     -0.00117001
     -0.00297042     -0.00297279
     -0.00120592     -0.00116549
     -0.00295385     -0.00295921
     -0.00564332     -0.00561972
     -0.00118036     -0.00114383
     -0.00290776     -0.00290737
     -0.00613972     -0.00638465
      -0.0013366     -0.00128042
     -0.00322905     -0.00327485
      -0.0046399     -0.00473115
    -0.000973257    -0.000975317
     -0.00238829     -0.00244718
      -0.0047103     -0.00481016
    -0.000995158    -0.000995658
     -0.00243209     -0.00249359
     -0.00473198      -0.0048334
    -0.000999875    -0.000998779
     -0.00244288     -0.00250418
     -0.00473731     -0.00484837
    -0.000999834      -0.0010013
     -0.00244533     -0.00251131
     -0.00466077     -0.00474047
    -0.000978303    -0.000977203
     -0.00239894     -0.00245286
      -0.0053334      -0.0056332
     -0.00113091      -0.0011272
     -0.00276125     -0.00288397
     -0.00402774     -0.00410057
    -0.000899137    -0.000882747
     -0.00213266     -0.00214191
     -0.00408512     -0.00418585
    -0.000917891    -0.000902757
     -0.00216936     -0.00218834
     -0.00408519     -0.00418737
    -0.000917819    -0.000903301
     -0.00216945     -0.00218942
     -0.00407882     -0.00418142
    -0.000916913    -0.000902233
     -0.00216638     -0.00218661
     -0.00402487     -0.00410078
    -0.000898503    -0.000883232
     -0.00213134     -0.00214261
     -0.00445804     -0.00467813
     -0.00101974    -0.000993556
     -0.00239134     -0.00242749
     -0.00462165     -0.00472891
    -0.000968912    -0.000972224
     -0.00237651     -0.00244219
     -0.00469385     -0.00480202
    -0.000993416    -0.000992839
     -0.00242562     -0.00248679
     -0.00473923     -0.00484568
     -0.00100254     -0.00100125
     -0.00244934     -0.00251033
     -0.00470186     -0.00479736
     -0.00467475     -0.00476966
    -0.000980258    -0.000982278
     -0.00240521     -0.00246755
     -0.00521917     -0.00555248
     -0.00378216     -0.00374873
    -0.000812446    -0.000807258
     -0.00196332     -0.00196312
      -0.0038449     -0.00382687
    -0.000831979    -0.000825667
     -0.00200294     -0.00200577
     -0.00384378     -0.00383063
    -0.000831637    -0.000826379
     -0.00200227     -0.00200757
     -0.00384575     -0.00383281
    -0.000831699    -0.000826695
     -0.00200315     -0.00200855
     -0.00377984     -0.00375357
    -0.000811737    -0.000808294
     -0.00196191     -0.00196558
     -0.00417455     -0.00425526
    -0.000919948    -0.000904111
     -0.00219633     -0.00221343
     -0.00385773     -0.00384311
    -0.000834316    -0.000828759
     -0.00200982     -0.00201388
