QM Energy	FF Energy
      -0.0268141      -0.0274397
      -0.0185164       -0.019316
      -0.0118689      -0.0122569
     -0.00759601     -0.00776078
     -0.00358299      -0.0036379
     -0.00200471     -0.00203818
     -0.00124946     -0.00127187
    -0.000586217    -0.000597576
      -0.0278928      -0.0282333
      -0.0150145       -0.015406
      -0.0087841     -0.00908413
     -0.00559665     -0.00580872
     -0.00277332     -0.00287953
      -0.0016129     -0.00167373
     -0.00107057     -0.00110477
    -0.000541059    -0.000555442
    -0.000192664    -0.000197187
      -0.0244753      -0.0251898
      -0.0182857      -0.0175658
      -0.0115101      -0.0111485
     -0.00733607     -0.00718456
     -0.00370778     -0.00369204
     -0.00224633     -0.00225436
     -0.00149517     -0.00150862
    -0.000779855    -0.000791531
      -0.0411452      -0.0416799
      -0.0212935      -0.0206753
      -0.0120788      -0.0117355
      -0.0076025     -0.00745768
     -0.00381635     -0.00380453
      -0.0193445      -0.0189033
     -0.00879787     -0.00893814
     -0.00590105     -0.00603412
     -0.00306153     -0.00314847
      -0.0277724      -0.0270572
      -0.0143556      -0.0141986
     -0.00821795     -0.00823599
     -0.00526734     -0.00532122
     -0.00279244     -0.00283315
      -0.0340876      -0.0340965
      -0.0179212      -0.0179053
      -0.0102166      -0.0102509
     -0.00637194      -0.0064314
     -0.00310627     -0.00316068
      -0.0129719      -0.0134098
     -0.00771336     -0.00795413
     -0.00513566     -0.00526749
     -0.00289317     -0.00294474
     -0.00191618      -0.0019476
      -0.0013595     -0.00138307
    -0.000761222    -0.000775543
    -0.000307361    -0.000313531
     -0.00357723     -0.00331924
    -0.000437324    -0.000479289
     -0.00589331     -0.00542042
     0.000109886     1.46971e-05
      0.00585277      0.00619867
      -0.0131383      -0.0124837
     -0.00317509     -0.00316676
     -0.00652104     -0.00635358
      -0.0143003      -0.0136736
       -0.003678     -0.00365936
     -0.00730238     -0.00712001
      -0.0121714      -0.0119491
     -0.00328372     -0.00334023
     -0.00625825     -0.00627632
      -0.0161629      -0.0156875
      -0.0042791     -0.00427246
     -0.00842137     -0.00828312
     -0.00951375       -0.009419
     -0.00248444     -0.00258522
     -0.00471574     -0.00483231
       -0.011139      -0.0105864
      -0.0014484     -0.00136724
     -0.00450435     -0.00424168
     -0.00650668     -0.00699816
     -0.00123839     -0.00133683
     -0.00275914     -0.00301024
      -0.0081394     -0.00855874
      -0.0019288      -0.0020045
     -0.00384575      -0.0040432
      -0.0108771      -0.0112277
     -0.00303087     -0.00309447
     -0.00567672     -0.00583969
     -0.00811458     -0.00860215
     -0.00216113     -0.00225088
     -0.00402105     -0.00425249
      -0.0107905      -0.0111024
     -0.00304192     -0.00311072
     -0.00568296     -0.00584871
     -0.00305296     -0.00310155
      0.00084124     0.000895011
      6.5779e-05     0.000140009
       -0.012642       -0.012292
     -0.00293218     -0.00297577
     -0.00614978     -0.00612231
      -0.0146414      -0.0143306
     -0.00356483     -0.00358083
     -0.00732231     -0.00725203
      -0.0151906      -0.0148513
      -0.0039581     -0.00396989
     -0.00782283     -0.00774077
      -0.0033138     -0.00335951
     -0.00651946     -0.00652125
      -0.0140436      -0.0137409
     -0.00376466      -0.0038213
     -0.00729266     -0.00729249
      -0.0118335      -0.0115414
     -0.00156626     -0.00147195
     -0.00487312     -0.00464278
     -0.00486941     -0.00505089
    -0.000200857     -0.00026745
     -0.00144239     -0.00162389
     -0.00694945     -0.00692747
     -0.00109848     -0.00114319
     -0.00284517     -0.00294307
     -0.00908537      -0.0088856
     -0.00205482     -0.00208338
     -0.00432999     -0.00435914
     -0.00945753     -0.00926369
     -0.00213526     -0.00214672
      -0.0045344      -0.0045437
     -0.00882917     -0.00883224
     -0.00197758     -0.00203967
     -0.00420264     -0.00432555
      0.00232914      0.00302568
      0.00245545       0.0025599
      0.00317442      0.00345347
     0.000534393     0.000343974
      0.00214515      0.00214881
      0.00232774      0.00225464
    -0.000268969    -0.000464673
      0.00178561      0.00177939
      0.00181108      0.00173243
     -0.00266963      -0.0027911
     0.000642432     0.000643458
      7.5821e-05     2.69253e-05
     -0.00128335     -0.00147446
      0.00119269       0.0011813
      0.00100069     0.000919252
     -0.00356046     -0.00363206
     0.000151395     0.000163089
    -0.000662503    -0.000690791
     0.000280195     0.000513877
      0.00226828      0.00236219
      0.00235773      0.00253346
    -0.000976458     -0.00123458
       0.0010079     0.000915999
     0.000870184     0.000631509
     -0.00395849     -0.00419353
     -4.0554e-05    -0.000121637
     -0.00097313     -0.00118203
     -0.00939947     -0.00934078
     -0.00211865     -0.00214659
     -0.00450936     -0.00457024
     -0.00655237     -0.00660558
       -0.010424      -0.0102503
     -0.00267894      -0.0027018
      -0.0053335      -0.0053638
     -0.00180222     -0.00150857
      0.00162147      0.00120503
      0.00262022      0.00258671
       0.0030067      0.00278505
       0.0012865     0.000942393
      0.00255553      0.00251948
      0.00287899      0.00267576
     0.000331284     0.000109621
      0.00206379      0.00205304
       0.0021611      0.00201898
     0.000363373     9.47197e-05
      0.00210901      0.00209276
      0.00220622      0.00204622
    -0.000316708    -0.000578201
      0.00165605      0.00165144
      0.00157533      0.00142809
     0.000820621     0.000681225
      0.00202839      0.00200142
      0.00234257      0.00223728
      0.00140281      0.00104449
      0.00270771      0.00267832
       0.0030315      0.00283284
