QM Energy	FF Energy
     -0.00443364     -0.00482998
     -0.00311537     -0.00330176
     -0.00178707     -0.00172509
    -0.000956189    -0.000821056
     -0.00027909    -0.000205624
     -9.1361e-05    -6.55866e-05
     -3.4485e-05    -2.55785e-05
      -7.116e-06    -5.67847e-06
     -0.00494672      -0.0050501
     -0.00213534     -0.00215498
     -0.00102544    -0.000956455
     -0.00051863    -0.000451112
    -0.000148861    -0.000124008
     -5.0295e-05    -4.38981e-05
     -2.1602e-05    -1.91279e-05
      -5.451e-06    -4.90795e-06
       -7.03e-07    -6.36028e-07
     -0.00261353     -0.00257928
     -0.00344297     -0.00318155
      -0.0020215     -0.00191059
     -0.00101978    -0.000923577
    -0.000310976    -0.000263042
    -0.000115737     -9.6848e-05
     -5.0253e-05    -4.25519e-05
     -1.3005e-05    -1.12147e-05
      -0.0123615      -0.0111548
     -0.00458137     -0.00456741
      -0.0020571     -0.00197626
     -0.00103235    -0.000930169
    -0.000315427    -0.000263114
     -0.00347856     -0.00347886
     -0.00136171     -0.00128991
    -0.000731745     -0.00066228
    -0.000225628    -0.000193764
     -0.00384303       -0.003328
      -0.0015912     -0.00145063
    -0.000777825     -0.00067896
    -0.000421977    -0.000351136
    -0.000152111    -0.000121835
     -0.00621039     -0.00596148
      -0.0025433      -0.0024956
     -0.00119425     -0.00108855
     -0.00060063    -0.000508253
    -0.000176031     -0.00014103
     -0.00124567     -0.00130163
    -0.000718825    -0.000692424
    -0.000442064    -0.000390501
    -0.000180622    -0.000147052
     -8.0946e-05    -6.55998e-05
     -3.9654e-05    -3.26567e-05
     -1.1781e-05    -9.98823e-06
      -1.818e-06    -1.58308e-06
     -0.00152981     -0.00178654
    -0.000243147    -0.000223461
     -0.00395426      -0.0043964
    -0.000405551    -0.000407249
     -0.00102229     -0.00133758
     -0.00232687     -0.00220334
    -0.000355638    -0.000303967
    -0.000985983    -0.000907341
     -0.00236456     -0.00233031
    -0.000377309    -0.000321498
     -0.00102227    -0.000962058
      -0.0020408     -0.00203279
    -0.000338979    -0.000289053
    -0.000895109    -0.000850581
     -0.00240625     -0.00238573
    -0.000381341    -0.000317632
     -0.00104064    -0.000967098
     -0.00185672     -0.00183619
    -0.000299409    -0.000258055
    -0.000801068    -0.000759935
     -0.00220217     -0.00218742
    -0.000324732    -0.000259586
    -0.000929914    -0.000846095
    -0.000853967    -0.000921083
    -0.000200295     -0.00016332
    -0.000450329    -0.000420105
    -0.000891475     -0.00101334
    -0.000219652    -0.000180727
    -0.000482345    -0.000464977
    -0.000944693     -0.00106235
    -0.000227269    -0.000187525
    -0.000504839    -0.000485742
    -0.000860995    -0.000996423
    -0.000217079    -0.000180833
    -0.000471229    -0.000461831
    -0.000932432    -0.000980012
    -0.000212196    -0.000173792
    -0.000484022    -0.000448187
    -0.000916447     -0.00102182
    -0.000189091    -0.000141472
    -0.000459663    -0.000415665
     -0.00218145     -0.00205604
    -0.000334634    -0.000282525
    -0.000924876    -0.000843222
     -0.00233854     -0.00231436
    -0.000371703    -0.000305496
      -0.0010133    -0.000933162
     -0.00229521     -0.00226935
    -0.000368193    -0.000301826
    -0.000998101    -0.000918203
    -0.000347903    -0.000290956
    -0.000930607    -0.000871526
     -0.00212985     -0.00200502
    -0.000330261    -0.000276631
    -0.000906729    -0.000824029
     -0.00235099     -0.00228969
     -0.00034657    -0.000257083
     -0.00100021     -0.00086109
      -0.0012451     -0.00132661
    -0.000214458    -0.000189939
    -0.000568375    -0.000553839
     -0.00133153     -0.00146529
    -0.000238375    -0.000214718
    -0.000617681    -0.000619883
     -0.00144694      -0.0015711
    -0.000257121    -0.000227611
    -0.000668668    -0.000661472
     -0.00144248     -0.00158784
     -0.00025415    -0.000229485
    -0.000664244    -0.000668056
     -0.00141848     -0.00146504
    -0.000241443     -0.00020572
    -0.000643258    -0.000606832
     -0.00174804      -0.0023529
    -0.000241347    -0.000214898
    -0.000726083    -0.000797999
    -0.000580959     -0.00088477
    -0.000178569    -0.000146214
     -0.00036352    -0.000395042
    -0.000587983    -0.000951798
    -0.000192728    -0.000155912
     -0.00038145    -0.000423328
    -0.000581225    -0.000925183
    -0.000188018    -0.000152423
    -0.000373342    -0.000412158
    -0.000586449    -0.000925589
    -0.000191217    -0.000151347
    -0.000378861    -0.000411249
    -0.000567243    -0.000844725
