# Eelst 		 Emultipole 
     -0.02681411      -0.01443747
     -0.01851644      -0.01290857
     -0.01186890      -0.00944928
     -0.00759601      -0.00663296
     -0.00358299      -0.00347436
     -0.00200471      -0.00201589
     -0.00124946      -0.00126892
     -0.00058622      -0.00059753
     -0.02789281      -0.01629810
     -0.01501452      -0.01074157
     -0.00878410      -0.00731393
     -0.00559665      -0.00515240
     -0.00277332      -0.00279468
     -0.00161290      -0.00166361
     -0.00107057      -0.00110340
     -0.00054106      -0.00055542
     -0.00019266      -0.00019719
     -0.02447531      -0.00916876
     -0.01828568      -0.01051437
     -0.01151012      -0.00837662
     -0.00733607      -0.00611591
     -0.00370778      -0.00353811
     -0.00224633      -0.00223290
     -0.00149517      -0.00150569
     -0.00077985      -0.00079148
     -0.04114524      -0.02241845
     -0.02129348      -0.01334900
     -0.01207885      -0.00890533
     -0.00760250      -0.00637090
     -0.00381635      -0.00364911
     -0.01934448      -0.01071332
     -0.00879787      -0.00717310
     -0.00590105      -0.00531283
     -0.00306153      -0.00304211
     -0.02777245      -0.01314685
     -0.01435560      -0.00875087
     -0.00821795      -0.00612164
     -0.00526734      -0.00449956
     -0.00279244      -0.00270988
     -0.03408762      -0.01840567
     -0.01792119      -0.01186916
     -0.01021658      -0.00798282
     -0.00637194      -0.00559257
     -0.00310627      -0.00304862
     -0.01297195      -0.00695493
     -0.00771336      -0.00539751
     -0.00513566      -0.00426912
     -0.00289317      -0.00279756
     -0.00191618      -0.00192664
     -0.00135950      -0.00138016
     -0.00076122      -0.00077549
     -0.00030736      -0.00031353
     -0.00357723       0.00138923
     -0.00043732      -0.00020293
     -0.00589331      -0.00010277
      0.00010989       0.00031776
      0.00585277       0.00925607
     -0.01313825      -0.00633785
     -0.00317509      -0.00280592
     -0.00652104      -0.00442032
     -0.01430032      -0.00704353
     -0.00367800      -0.00326872
     -0.00730238      -0.00503096
     -0.01217141      -0.00546702
     -0.00328372      -0.00295539
     -0.00625825      -0.00422667
     -0.01616286      -0.00906284
     -0.00427910      -0.00388224
     -0.00842137      -0.00619623
     -0.00951375      -0.00349280
     -0.00248444      -0.00223314
     -0.00471574      -0.00295809
     -0.01113902      -0.00374168
     -0.00144840      -0.00096688
     -0.00450435      -0.00209166
     -0.00650668      -0.00132798
     -0.00123839      -0.00099735
     -0.00275914      -0.00121448
     -0.00813940      -0.00238852
     -0.00192880      -0.00163507
     -0.00384575      -0.00208903
     -0.01087707      -0.00507083
     -0.00303087      -0.00272572
     -0.00567672      -0.00388932
     -0.00811458      -0.00245469
     -0.00216113      -0.00188226
     -0.00402105      -0.00230398
     -0.01079049      -0.00544724
     -0.00304192      -0.00277211
     -0.00568296      -0.00405745
     -0.00305296       0.00340278
      0.00084124       0.00127935
      0.00006578       0.00218831
     -0.01264200      -0.00621137
     -0.00293218      -0.00261759
     -0.00614978      -0.00420695
     -0.01464144      -0.00771476
     -0.00356483      -0.00319112
     -0.00732231      -0.00516827
     -0.01519057      -0.00827343
     -0.00395810      -0.00358187
     -0.00782283      -0.00566761
     -0.00331380      -0.00297293
     -0.00651946      -0.00445927
     -0.01404361      -0.00772339
     -0.00376466      -0.00346585
     -0.00729266      -0.00539455
     -0.01183351      -0.00454733
     -0.00156626      -0.00106594
     -0.00487312      -0.00245381
     -0.00486941      -0.00048125
     -0.00020086       0.00000635
     -0.00144239      -0.00017478
     -0.00694945      -0.00195116
     -0.00109848      -0.00084497
     -0.00284517      -0.00136471
     -0.00908537      -0.00388471
     -0.00205482      -0.00178435
     -0.00432999      -0.00277458
     -0.00945753      -0.00423185
     -0.00213526      -0.00184626
     -0.00453440      -0.00295034
     -0.00882917      -0.00422801
     -0.00197758      -0.00176460
     -0.00420264      -0.00286725
      0.00232914       0.00824119
      0.00245545       0.00286810
      0.00317442       0.00509755
      0.00053439       0.00584070
      0.00214515       0.00248260
      0.00232774       0.00400505
     -0.00026897       0.00551953
      0.00178561       0.00214271
      0.00181108       0.00363780
     -0.00266963       0.00315174
      0.00064243       0.00100478
      0.00007582       0.00192046
     -0.00128335       0.00449852
      0.00119269       0.00154405
      0.00100069       0.00282137
     -0.00356046       0.00180282
      0.00015139       0.00049391
     -0.00066250       0.00104191
      0.00028020       0.00678343
      0.00226828       0.00273843
      0.00235773       0.00451984
     -0.00097646       0.00330205
      0.00100790       0.00118865
      0.00087018       0.00207213
     -0.00395849       0.00077775
     -0.00004055       0.00017678
     -0.00097313       0.00039587
     -0.00939947      -0.00431837
     -0.00211865      -0.00184631
     -0.00450936      -0.00297876
     -0.00655237      -0.00161640
     -0.01042403      -0.00562963
     -0.00267894      -0.00242605
     -0.00533350      -0.00390078
     -0.00180222       0.00381123
      0.00162147       0.00579087
      0.00262022       0.00286848
      0.00300670       0.00425336
      0.00128650       0.00590983
      0.00255553       0.00282497
      0.00287899       0.00426691
      0.00033128       0.00504583
      0.00206379       0.00235702
      0.00216110       0.00360117
      0.00036337       0.00504496
      0.00210901       0.00239740
      0.00220622       0.00363238
     -0.00031671       0.00395723
      0.00165605       0.00193076
      0.00157533       0.00288192
      0.00082062       0.00594112
      0.00202839       0.00232052
      0.00234257       0.00391205
      0.00140281       0.00605441
      0.00270771       0.00298612
      0.00303150       0.00443682
      0.00295185       0.00324334
      0.00338840       0.00492079
      0.00121516       0.00632214
      0.00264844       0.00294108
      0.00297053       0.00450950
      0.00196872       0.00701307
      0.00293986       0.00321792
      0.00346651       0.00497182
      0.00064457       0.00534065
      0.00222680       0.00251023
      0.00240203       0.00382565
     -0.00220257       0.00345253
      0.00112878       0.00146204
      0.00059712       0.00235502
      0.00314439       0.00727245
      0.00317161       0.00340290
      0.00398304       0.00519809
      0.00260839       0.00715987
      0.00307468       0.00332482
      0.00375644       0.00510241
      0.00068975       0.00536335
      0.00220751       0.00249683
      0.00239872       0.00382367
     -0.00027380       0.00404026
      0.00161598       0.00190520
      0.00155788       0.00289180
     -0.01173749      -0.00506794
     -0.00297682      -0.00264653
     -0.00586850      -0.00384115
     -0.01402952      -0.00688428
     -0.00340915      -0.00300531
     -0.00700055      -0.00475973
      0.01463280       0.02033416
      0.00494602       0.00556166
      0.00835149       0.01097688
     -0.01022834      -0.00440424
     -0.00269144      -0.00237632
     -0.00518747      -0.00338463
     -0.00808156      -0.00244165
     -0.00176806      -0.00148865
     -0.00370882      -0.00199718
     -0.01517175      -0.00807887
     -0.00406970      -0.00368722
     -0.00791538      -0.00572047
     -0.01419383      -0.00698050
     -0.00354259      -0.00314234
     -0.00715676      -0.00491094
     -0.00833384      -0.00337708
     -0.00142123      -0.00116723
     -0.00358247      -0.00210514
     -0.00592037      -0.00107761
     -0.00038809      -0.00013860
     -0.00193772      -0.00049914
     -0.00774513      -0.00032619
     -0.00186999       0.00050442
     -0.00203361       0.00379044
      0.00102418       0.00139312
      0.00058668       0.00243804
      0.00016973       0.00592952
      0.00210175       0.00245822
      0.00219986       0.00401682
     -0.00110965      -0.00087777
     -0.00270001      -0.00126028
     -0.00918902      -0.00400142
     -0.00200523      -0.00171672
     -0.00435723      -0.00278243
     -0.00378693       0.00101172
      0.00006814       0.00029557
     -0.00083858       0.00055703
      0.00162028       0.00201753
      0.00109240       0.00292345
      0.00071025       0.00536211
      0.00234058       0.00262406
      0.00250260       0.00391487
      0.00193564       0.00654575
      0.00292338       0.00319499
      0.00338880       0.00477525
     -0.01602562      -0.00871465
     -0.00400021      -0.00360872
      0.00150676       0.00663897
      0.00280041       0.00309828
