QM Energy	FF Energy
     -1.5194e-05    -1.82838e-05
     -1.1179e-05    -1.54051e-05
    -0.000892522    -0.000822269
     -0.00113967     -0.00111233
     -0.00130652     -0.00116767
     -8.4184e-05    -9.42398e-05
    -0.000869233    -0.000768564
     -4.5652e-05    -4.21591e-05
    -0.000374312    -0.000372981
     -2.6889e-05    -2.71924e-05
     -0.00106074     -0.00104856
    -0.000997614    -0.000922395
    -0.000622291    -0.000645101
    -0.000235122    -0.000232821
     -0.00100718    -0.000853976
    -0.000300309    -0.000342185
      -0.0010322     -0.00099865
     -2.7495e-05    -3.54282e-05
     -2.3342e-05    -2.51123e-05
      -7.195e-06    -9.11691e-06
     -0.00173429     -0.00158248
    -0.000600614    -0.000612491
    -0.000823903    -0.000779164
    -0.000266383    -0.000234215
     -3.1235e-05    -3.61232e-05
    -0.000382054    -0.000388452
    -0.000115447    -0.000132715
     -0.00073494    -0.000743018
    -0.000353191    -0.000360913
    -0.000281066    -0.000312008
     -0.00102793       -0.001011
     -4.0093e-05    -4.58111e-05
    -0.000336554    -0.000339511
    -0.000250012    -0.000253288
     -4.8495e-05    -5.39128e-05
     -6.0644e-05    -6.03579e-05
     -0.00157628     -0.00138748
     -1.1279e-05    -1.76181e-05
    -0.000390706    -0.000384943
     -1.9133e-05    -2.75733e-05
     -2.6366e-05    -2.66834e-05
    -0.000601238    -0.000610229
    -0.000662809     -0.00061425
     -5.0802e-05     -5.6715e-05
    -0.000805978    -0.000830845
     -1.6796e-05     -2.4216e-05
     -7.3568e-05    -6.58813e-05
     -9.1487e-05    -8.32223e-05
     -0.00140272     -0.00129304
    -0.000732355      -0.0007535
     -1.4637e-05    -2.26936e-05
     -3.7663e-05    -5.47957e-05
    -0.000398784    -0.000392235
     -2.3463e-05    -2.68243e-05
     -1.6702e-05    -2.50819e-05
    -0.000198352     -0.00018965
     -9.8847e-05    -0.000116011
      -8.351e-06    -1.10687e-05
     -0.00104711     -0.00101546
      -1.445e-05    -2.06408e-05
    -0.000779262    -0.000699107
      -8.874e-06     -9.8178e-06
     -0.00132682     -0.00114963
      -7.779e-06    -1.14679e-05
    -0.000490357     -0.00045957
     -1.0238e-05    -1.09575e-05
     -4.6777e-05    -5.35067e-05
    -0.000375676    -0.000419761
     -0.00190017      -0.0024835
    -0.000184557    -0.000185937
     -0.00032993    -0.000330899
     -1.5817e-05    -2.20172e-05
     -4.0929e-05    -4.65955e-05
     -1.1171e-05    -1.25916e-05
     -2.1954e-05    -2.75749e-05
     -1.3799e-05    -1.93482e-05
       -4.61e-05    -5.03284e-05
     -1.3448e-05    -1.44805e-05
     -2.2168e-05    -3.15319e-05
    -0.000184872    -0.000181848
    -0.000348093    -0.000317515
     -5.5952e-05    -5.75294e-05
    -0.000899868    -0.000888502
     -0.00123195     -0.00106259
     -7.3251e-05    -7.64608e-05
     -1.1178e-05    -1.48057e-05
      -7.258e-06    -1.10587e-05
      -5.648e-06    -8.14845e-06
    -0.000835966    -0.000765252
      -2.545e-05    -2.82533e-05
      -3.517e-05      -4.524e-05
    -0.000249349    -0.000226499
     -0.00011435    -0.000118832
    -0.000464572     -0.00054272
     -5.8905e-05    -6.10045e-05
      -3.493e-06    -4.20899e-06
    -0.000808273    -0.000778787
     -4.1892e-05    -5.73661e-05
     -5.1524e-05    -6.34489e-05
     -0.00106257     -0.00101653
     -7.1478e-05    -8.24429e-05
     -0.00018092    -0.000186842
     -6.7685e-05    -7.53795e-05
    -0.000160815    -0.000186409
     -0.00165589     -0.00175161
     -4.3862e-05    -5.38497e-05
     -1.3673e-05    -1.36711e-05
      -9.364e-06    -1.05037e-05
    -0.000157843    -0.000192228
      -4.524e-06    -6.91633e-06
    -0.000124417    -0.000160572
      -1.139e-05    -1.47184e-05
      -9.512e-06    -1.11989e-05
    -0.000379288    -0.000362092
      -7.523e-06    -1.14889e-05
    -0.000289569     -0.00028765
    -0.000267603    -0.000320435
     -1.7765e-05    -1.91317e-05
     -8.5811e-05     -9.9877e-05
    -0.000254721      -0.0002574
      -4.851e-06    -7.81354e-06
     -4.4995e-05    -6.19706e-05
     -2.4969e-05    -2.94625e-05
      -2.852e-06    -5.28055e-06
     -0.00020493    -0.000232833
    -0.000100254    -0.000118061
     -8.9385e-05    -9.80207e-05
     -2.3567e-05    -3.18005e-05
     -3.1151e-05    -2.99677e-05
    -0.000662116    -0.000607278
    -0.000186469    -0.000238164
     -1.8487e-05    -2.51626e-05
     -0.00150487     -0.00140022
     -0.00046243    -0.000465215
    -0.000195075    -0.000209052
