Edrude_ind 		 Edrude_dhf
     -0.00004774       0.00000000
     -0.00005382       0.00000057
     -0.00048803       0.00000566
     -0.00052588      -0.00001098
     -0.00038926      -0.00000975
     -0.00015265      -0.00000240
     -0.00045509      -0.00000073
     -0.00003416      -0.00000036
     -0.00038393      -0.00001465
     -0.00004790      -0.00000023
     -0.00049072      -0.00000087
     -0.00045731      -0.00001451
     -0.00031493       0.00000482
     -0.00020402      -0.00000269
     -0.00017500      -0.00000675
     -0.00020198      -0.00000233
     -0.00027246      -0.00000349
     -0.00007403      -0.00000062
     -0.00003850       0.00000027
     -0.00002261      -0.00000014
     -0.00045423      -0.00001665
     -0.00032076      -0.00000639
     -0.00078994       0.00004444
     -0.00008845      -0.00000172
     -0.00004021      -0.00000061
     -0.00028380       0.00000063
     -0.00014172      -0.00000141
     -0.00038009      -0.00001333
     -0.00025111       0.00000361
     -0.00012796       0.00000100
     -0.00038163       0.00000381
     -0.00009301       0.00000013
     -0.00022310      -0.00001007
     -0.00033194       0.00000878
     -0.00007525      -0.00000181
     -0.00008498      -0.00000162
     -0.00033415      -0.00002930
     -0.00002990       0.00000006
     -0.00020224      -0.00000400
     -0.00003494       0.00000028
     -0.00006422      -0.00000028
     -0.00044816       0.00000007
     -0.00019568      -0.00000182
     -0.00007740      -0.00000098
     -0.00051935       0.00000560
     -0.00004885       0.00000017
     -0.00005798      -0.00000107
     -0.00005649      -0.00000075
     -0.00049062      -0.00000208
     -0.00019291      -0.00000221
     -0.00003380       0.00000006
     -0.00005396       0.00000033
     -0.00041123       0.00001323
     -0.00004767       0.00000006
     -0.00005645       0.00000030
     -0.00013234      -0.00000471
     -0.00019915      -0.00000347
     -0.00003922      -0.00000018
     -0.00057531      -0.00000288
     -0.00004960      -0.00000027
     -0.00020520      -0.00001259
     -0.00004631      -0.00000006
     -0.00031753      -0.00001806
     -0.00003695      -0.00000021
     -0.00033495      -0.00001070
     -0.00002605      -0.00000018
     -0.00004492       0.00000014
     -0.00027799      -0.00000422
     -0.00088400       0.00002374
     -0.00014408      -0.00000279
     -0.00031568      -0.00000982
     -0.00003819       0.00000024
     -0.00008829      -0.00000111
     -0.00005567      -0.00000006
