QM Energy	FF Energy
     -8.0939e-05    -5.48398e-05
     -7.3979e-05    -6.20792e-05
    -0.000574477    -0.000756912
     -0.00136108     -0.00132583
    -0.000935551     -0.00084176
    -0.000228858    -0.000234357
    -0.000630742    -0.000659617
     -8.5723e-05    -5.22218e-05
    -0.000651613    -0.000677956
     -8.0874e-05    -5.74735e-05
    -0.000646425    -0.000856984
     -0.00120128     -0.00117892
    -0.000601077    -0.000656244
    -0.000374394    -0.000351638
    -0.000726811     -0.00055753
    -0.000609775    -0.000504446
    -0.000814013    -0.000813432
    -0.000127031    -0.000106344
     -6.1054e-05    -5.04437e-05
     -4.2874e-05    -2.77455e-05
     -0.00150161     -0.00124142
    -0.000948482    -0.000830344
    -0.000673652     -0.00102388
    -0.000273907    -0.000194863
     -8.0124e-05     -5.7127e-05
    -0.000543089    -0.000555969
    -0.000301172    -0.000265041
    -0.000955658      -0.0010305
    -0.000393122    -0.000414281
    -0.000434106    -0.000360247
    -0.000783964    -0.000864288
    -0.000119801    -0.000108913
    -0.000488655    -0.000506132
    -0.000317639    -0.000415769
    -0.000158656    -9.06903e-05
    -0.000169963    -9.96232e-05
     -0.00115767     -0.00075344
     -7.0559e-05    -4.56555e-05
    -0.000568057    -0.000468133
     -9.3771e-05    -6.13562e-05
    -0.000102666    -7.13685e-05
    -0.000533709    -0.000615051
    -0.000584312     -0.00050218
    -0.000141718    -0.000118044
    -0.000587906    -0.000828162
    -0.000106465    -7.35797e-05
    -0.000141178    -7.82398e-05
    -0.000139827    -9.21505e-05
     -0.00104181     -0.00112771
    -0.000798682    -0.000779266
     -7.2681e-05    -5.39215e-05
    -0.000154255    -0.000108945
    -0.000413863     -0.00054841
     -7.8605e-05    -5.93621e-05
      -9.927e-05    -7.78459e-05
    -0.000300059    -0.000182886
    -0.000295182    -0.000310293
     -7.0005e-05    -4.97095e-05
    -0.000707281    -0.000886826
     -8.9811e-05    -6.87834e-05
    -0.000625657    -0.000448905
     -6.6863e-05    -4.88734e-05
    -0.000962204    -0.000668311
      -5.801e-05    -4.64363e-05
     -0.00064525    -0.000694899
     -5.0238e-05    -3.14033e-05
    -0.000107012    -8.15453e-05
    -0.000677511    -0.000687374
      -0.0022016     -0.00197547
    -0.000279731    -0.000205646
    -0.000571852    -0.000573833
     -8.4081e-05    -5.72439e-05
    -0.000158216     -0.00010069
     -7.4169e-05    -5.90117e-05
     -6.3538e-05     -4.9349e-05
      -6.247e-05    -4.92219e-05
    -0.000158158    -0.000132192
     -7.9776e-05    -5.53398e-05
    -0.000115314    -9.48582e-05
    -0.000285905    -0.000246763
    -0.000267532    -0.000279439
    -0.000140011    -9.16455e-05
    -0.000702868    -0.000741718
    -0.000910773    -0.000606119
    -0.000157336    -0.000142216
     -9.9979e-05    -6.86983e-05
     -9.7338e-05    -9.01155e-05
     -5.2035e-05    -4.74203e-05
    -0.000683005    -0.000583259
     -7.5536e-05    -6.63363e-05
    -0.000166411     -0.00015435
    -0.000344485    -0.000208081
    -0.000216332    -0.000149233
    -0.000643086     -0.00069303
     -0.00013823    -0.000129381
     -4.4279e-05    -3.83193e-05
    -0.000672971    -0.000916453
    -0.000139405    -0.000101349
    -0.000178231    -0.000158813
    -0.000705461    -0.000761588
    -0.000215009    -0.000203358
     -0.00030048    -0.000232419
    -0.000123631    -9.34994e-05
    -0.000320646    -0.000366132
     -0.00126403     -0.00132296
    -0.000157992    -0.000114561
     -7.0661e-05    -4.41145e-05
     -7.1129e-05    -4.33992e-05
    -0.000378243    -0.000313703
     -7.4891e-05    -6.71547e-05
    -0.000281521    -0.000228775
     -9.9894e-05    -7.17595e-05
     -6.2024e-05    -4.33688e-05
    -0.000559656     -0.00056933
     -8.3383e-05    -7.25376e-05
    -0.000355495    -0.000292969
    -0.000574119    -0.000459016
     -5.3203e-05    -4.62315e-05
    -0.000197775    -0.000204063
    -0.000325188    -0.000316721
      -5.804e-05    -4.35501e-05
    -0.000150186    -0.000106439
     -8.8321e-05    -5.77912e-05
     -7.4413e-05    -7.36734e-05
    -0.000458101    -0.000467427
    -0.000207782    -0.000174461
    -0.000225281    -0.000235195
      -9.131e-05    -7.44749e-05
      -7.815e-05    -4.83086e-05
    -0.000741456    -0.000765391
    -0.000420412     -0.00032347
    -0.000106291    -9.08166e-05
     -0.00112382    -0.000818591
     -0.00038873    -0.000428867
    -0.000392331    -0.000294334
      -3.582e-05     -2.2907e-05
    -0.000902966    -0.000893006
     -0.00055192    -0.000611641
    -0.000263869    -0.000310249
     -0.00013884    -8.06829e-05
       -0.001602      -0.0016104
    -0.000122731    -8.85083e-05
    -0.000143344    -0.000113974
    -0.000449552    -0.000327378
     -8.8334e-05    -7.57484e-05
    -0.000154582    -0.000124131
     -6.9624e-05    -4.90973e-05
     -5.5453e-05    -4.67379e-05
    -0.000780307    -0.000854835
    -0.000252923    -0.000218688
     -0.00045287    -0.000346186
    -0.000270253    -0.000264625
    -0.000131167    -0.000121347
     -8.1704e-05    -6.03325e-05
     -0.00130471     -0.00126441
    -0.000122267    -0.000108877
    -0.000142034    -0.000133855
    -0.000100227    -6.25338e-05
    -0.000971854    -0.000842794
    -0.000278453    -0.000213961
    -0.000754235    -0.000766505
     -6.0228e-05     -4.7786e-05
    -0.000468722    -0.000634876
    -0.000167927    -0.000106871
     -5.6743e-05    -4.66437e-05
     -5.0599e-05     -3.6475e-05
     -0.00046701    -0.000404851
    -0.000388543    -0.000374581
    -0.000928057     -0.00100945
     -5.8334e-05    -3.80959e-05
     -0.00016656    -0.000128848
     -6.7594e-05    -4.77464e-05
     -9.8152e-05    -7.54087e-05
    -0.000231958    -0.000209691
       -0.001196      -0.0012245
    -0.000492699    -0.000597874
    -0.000103539    -8.15303e-05
     -8.8274e-05    -5.34633e-05
     -0.00069069    -0.000918569
    -0.000119878     -8.4347e-05
    -0.000305376    -0.000347365
    -0.000853155     -0.00100939
    -0.000136454    -0.000141553
     -0.00054897    -0.000614499
    -0.000122036    -0.000100461
    -0.000173379    -0.000117389
    -0.000619154    -0.000785702
    -0.000261559    -0.000210595
