RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.474D-03  5.224D-04
    1    2     1     0  ---    0  1.0D+00  1.9D-03  1.410D-03  5.189D-04
    2    3     1     0  con    0  1.0D+00  6.2D-02  4.738D-04  4.490D-04
    3    4     1     0  con    0  1.0D+00  5.5D-02  4.288D-04  4.160D-04
    4    5     1     0  con    0  1.0D+00  2.0D-01  6.582D-04  3.199D-04
    5    7     1     0  con    1  2.6D-01  1.5D-01  5.553D-04  2.778D-04
    6    8     1     0  con    0  1.0D+00  5.0D-02  4.578D-04  2.546D-04
    7   10     1     0  con    1  4.7D-01  3.1D-01  7.330D-04  1.772D-04
    8   11     1     0  con    0  1.0D+00  1.1D-01  6.548D-04  1.525D-04
    9   14     1     0  con    2  6.8D-01  1.7D-01  3.925D-04  9.465D-05
   10   16     1     0  con    1  3.1D-01  6.5D-02  8.612D-04  7.847D-05
   11   17     1     0  con    0  1.0D+00  1.1D-01  3.271D-04  7.535D-05
   12   18     1     0  con    0  1.0D+00  4.7D-02  2.712D-04  6.380D-05
   13   19     1     0  con    0  1.0D+00  4.9D-02  5.012D-04  5.856D-05
   14   20     1     0  con    0  1.0D+00  2.0D-02  3.637D-04  5.356D-05
   15   21     1     0  con    0  1.0D+00  1.3D-01  2.305D-04  3.806D-05
   16   22     1     0  con    0  1.0D+00  7.9D-02  6.285D-05  3.315D-05
   17   23     1     0  con    0  1.0D+00  5.6D-02  1.173D-04  3.249D-05
   18   24     1     0  con    0  1.0D+00  1.0D-02  4.769D-05  3.232D-05
   19   25     1     0  con    0  1.0D+00  2.0D-03  1.904D-05  3.229D-05
   20   26     1     0  con    0  1.0D+00  1.6D-03  1.741D-05  3.227D-05
   21   27     1     0  con    0  1.0D+00  1.7D-02  7.669D-05  3.204D-05
   22   28     1     0  con    0  1.0D+00  2.5D-02  1.352D-04  3.177D-05
   23   29     1     0  con    0  1.0D+00  2.9D-02  1.406D-04  3.150D-05
   24   30     1     0  con    0  1.0D+00  4.9D-02  1.103D-04  3.113D-05
   25   31     1     0  con    0  1.0D+00  7.3D-02  4.788D-05  3.032D-05
   26   32     1     0  con    0  1.0D+00  1.8D-01  9.893D-05  2.855D-05
   27   34     1     0  con    1  3.4D-01  1.4D-01  9.687D-05  2.737D-05
   28   36     1     0  con    1  3.7D-01  3.2D-01  8.382D-05  2.494D-05
   29   38     1     0  con    1  1.5D-01  1.3D-01  2.077D-04  2.412D-05
   30   39     1     0  con    0  1.0D+00  1.9D-01  3.475D-04  2.194D-05
   31   41     1     0  con    1  4.8D-01  2.3D-01  2.579D-04  1.976D-05
   32   42     1     0  con    0  1.0D+00  2.6D-01  6.395D-05  1.529D-05
   33   43     1     0  con    0  1.0D+00  3.6D-01  3.167D-05  1.245D-05
   34   44     1     0  con    0  1.0D+00  2.9D-01  1.677D-05  1.107D-05
   35   46     1     0  con    1  3.9D-01  6.4D-02  9.157D-05  1.070D-05
   36   47     1     0  con    0  1.0D+00  1.5D-01  7.397D-05  1.025D-05
   37   48     1     0  con    0  1.0D+00  1.7D-01  7.954D-05  9.160D-06
   38   49     1     0  con    0  1.0D+00  3.5D-01  8.924D-05  6.816D-06
   39   50     1     0  con    0  1.0D+00  2.0D-01  8.276D-05  4.764D-06
   40   51     1     0  con    0  1.0D+00  2.7D-01  1.282D-04  3.474D-06
   41   52     1     0  con    0  1.0D+00  4.0D-01  5.144D-05  2.477D-06
   42   53     1     0  con    0  1.0D+00  5.4D-02  1.628D-05  2.267D-06
   43   54     1     0  con    0  1.0D+00  5.7D-02  7.704D-06  2.161D-06
   44   55     1     0  con    0  1.0D+00  2.1D-02  5.960D-06  2.125D-06
   45   56     1     0  con    0  1.0D+00  1.6D-02  3.383D-06  2.120D-06
   46   58     1     0  con    1  4.4D-01  1.7D-02  2.200D-06  2.116D-06
   47   59     1     0  con    0  1.0D+00  9.9D-03  2.146D-06  2.113D-06
   48   60     1     0  con    0  1.0D+00  1.7D-02  3.767D-06  2.103D-06
   49   61     1     0  con    0  1.0D+00  8.8D-02  7.175D-06  2.069D-06
   50   62     1     0  con    0  1.0D+00  6.8D-02  1.799D-05  2.051D-06
   51   63     1     0  con    0  1.0D+00  3.6D-02  5.583D-06  2.023D-06
   52   64     1     0  con    0  1.0D+00  2.0D-02  2.134D-06  2.011D-06
   53   65     1     0  con    0  1.0D+00  9.0D-03  2.841D-06  2.009D-06
   54   66     1     0  con    0  1.0D+00  4.7D-03  1.583D-06  2.009D-06
   55   67     1     0  con    0  1.0D+00  2.1D-03  3.898D-07  2.009D-06
   56   68     1     0  con    0  1.0D+00  3.7D-04  3.908D-07  2.009D-06
   57   69     1     0  con    0  1.0D+00  1.7D-03  2.019D-06  2.008D-06
   58   70     1     0  con    0  1.0D+00  2.9D-03  3.754D-06  2.008D-06
   59   71     1     0  con    0  1.0D+00  7.6D-03  5.864D-06  2.006D-06
   60   72     1     0  con    0  1.0D+00  1.2D-02  6.466D-06  2.004D-06
   61   73     1     0  con    0  1.0D+00  1.8D-02  7.924D-06  2.003D-06
   62   74     1     0  con    0  1.0D+00  6.6D-03  3.641D-06  2.001D-06
   63   75     1     0  con    0  1.0D+00  5.0D-03  2.485D-06  2.000D-06
   64   76     1     0  con    0  1.0D+00  2.1D-03  7.983D-07  2.000D-06
   65   77     1     0  con    0  1.0D+00  2.4D-03  1.847D-06  1.999D-06
   66   78     1     0  con    0  1.0D+00  2.0D-03  3.062D-06  1.999D-06
   67   79     1     0  con    0  1.0D+00  6.0D-03  4.525D-06  1.998D-06
   68   80     1     0  con    0  1.0D+00  8.1D-03  3.591D-06  1.997D-06
   69   82     1     0  con    1  3.8D-01  9.8D-03  4.159D-06  1.996D-06
   70   83     1     0  con    0  1.0D+00  6.8D-03  4.769D-07  1.995D-06
   71   84     1     0  con    0  1.0D+00  1.8D-03  1.369D-06  1.995D-06
   72   85     1     0  con    0  1.0D+00  1.9D-03  1.923D-06  1.995D-06
   73   86     1     0  con    0  1.0D+00  3.8D-03  2.205D-06  1.995D-06
   74   87     1     0  con    0  1.0D+00  4.1D-03  3.161D-06  1.994D-06
   75   88     1     0  con    0  1.0D+00  2.5D-03  9.695D-07  1.994D-06
   76   89     1     0  con    0  1.0D+00  3.6D-03  8.730D-07  1.993D-06
   77   90     1     0  con    0  1.0D+00  8.7D-03  2.876D-06  1.992D-06
   78   91     1     0  con    0  1.0D+00  1.6D-02  4.461D-06  1.990D-06
   79   92     1     0  con    0  1.0D+00  2.0D-02  3.762D-06  1.988D-06
   80   94     1     0  con    1  3.5D-01  7.7D-03  3.679D-06  1.987D-06
   81   96     1     0  con    1  2.5D-01  2.2D-03  1.585D-06  1.987D-06
   82   97     1     0  con    0  1.0D+00  4.9D-03  6.622D-07  1.986D-06
   83   98     1     0  con    0  1.0D+00  2.1D-03  1.450D-07  1.986D-06
   84   99     1     0  con    0  1.0D+00  3.6D-04  1.847D-07  1.986D-06
   85  100     1     0  con    0  1.0D+00  6.6D-04  3.900D-07  1.986D-06
   86  101     1     0  con    0  1.0D+00  1.6D-03  5.398D-07  1.986D-06
   87  102     1     0  con    0  1.0D+00  6.3D-03  1.029D-06  1.986D-06
   88  103     1     0  con    0  1.0D+00  1.4D-02  1.201D-06  1.985D-06
   89  104     1     0  con    0  1.0D+00  1.5D-02  1.385D-06  1.984D-06
   90  105     1     0  con    0  1.0D+00  2.5D-02  1.377D-06  1.983D-06
   91  106     1     0  con    0  1.0D+00  6.3D-02  2.659D-06  1.982D-06
   92  108     1     0  con    1  2.6D-01  3.1D-03  2.396D-06  1.982D-06
   93  109     1     0  con    0  1.0D+00  2.3D-02  7.680D-07  1.980D-06
   94  110     1     0  con    0  1.0D+00  6.2D-03  3.737D-07  1.980D-06
   95  111     1     0  con    0  1.0D+00  5.1D-03  3.716D-07  1.980D-06
   96  112     1     0  con    0  1.0D+00  1.2D-02  1.015D-06  1.979D-06
   97  113     1     0  con    0  1.0D+00  2.8D-02  2.108D-06  1.976D-06
   98  114     1     0  con    0  1.0D+00  6.1D-02  2.755D-06  1.971D-06
   99  115     1     0  con    0  1.0D+00  9.4D-02  6.201D-06  1.962D-06
  100  116     1     0  con    0  1.0D+00  9.2D-02  8.510D-06  1.950D-06
  101  117     1     0  con    0  1.0D+00  5.3D-02  3.180D-06  1.941D-06
  102  119     1     0  con    1  4.3D-01  6.1D-02  5.122D-06  1.937D-06
  103  120     1     0  con    0  1.0D+00  1.2D-01  1.029D-05  1.931D-06
  104  121     1     0  con    0  1.0D+00  6.1D-02  5.924D-06  1.919D-06
  105  122     1     0  con    0  1.0D+00  2.4D-01  1.753D-05  1.903D-06
  106  124     1     0  con    1  4.7D-01  4.8D-02  1.017D-05  1.881D-06
  107  125     1     0  con    0  1.0D+00  9.0D-02  1.275D-05  1.874D-06
  108  127     1     0  con    1  4.3D-01  6.6D-02  1.260D-05  1.866D-06
