QM Energy	FF Energy
    -0.000232642    -0.000162926
     -0.00112238    -0.000666173
     -1.6412e-05    -6.57923e-06
     -0.00140972    -0.000946636
    -0.000581451    -0.000300536
    -0.000713402    -0.000982562
     -0.00313398     -0.00294489
     -0.00105068     -0.00106703
      -8.189e-06    -4.41212e-06
    -0.000500272     -0.00033789
     -4.9975e-05    -2.26821e-05
     -4.3331e-05    -3.62498e-05
     -0.00149155     -0.00121855
      -8.249e-06    -3.94688e-06
     -1.6848e-05    -6.47464e-06
    -0.000165306    -0.000171876
     -0.00177208     -0.00248573
    -0.000137243    -0.000213183
     -0.00134136     -0.00109464
    -0.000429359    -0.000143068
     -0.00201873     -0.00165675
    -0.000860359    -0.000619947
     -5.4243e-05    -1.81954e-05
      -6.966e-06    -1.69323e-06
     -1.3327e-05    -7.28834e-06
     -0.00110773     -0.00063701
     -0.00137368     -0.00131843
     -9.3047e-05    -4.81219e-05
    -0.000891203    -0.000354145
    -0.000169302    -8.52918e-05
     -0.00015423    -0.000116438
    -0.000502621    -0.000178454
    -0.000832847     -0.00101314
      -5.221e-06    -8.66784e-06
    -0.000935498      -0.0005405
      -0.0015228    -0.000980095
     -0.00146805     -0.00116198
    -0.000204661    -9.97674e-05
     -6.8656e-05    -5.05987e-05
     -2.5687e-05    -5.23977e-05
     -0.00138869     -0.00106335
     -1.3271e-05     -1.1704e-05
     -0.00120375    -0.000689652
      -0.0002657    -0.000334643
     -1.7048e-05    -1.16354e-05
     -4.0155e-05    -1.90768e-05
     -0.00038847     -0.00145827
     -6.1871e-05    -3.81046e-05
    -0.000479346    -0.000248018
    -0.000232991     -0.00036292
     -5.6644e-05    -3.48366e-05
     -0.00200557     -0.00171109
     -0.00158258    -0.000965088
    -0.000218643    -0.000347811
    -0.000827607    -0.000376981
    -0.000988641    -0.000647525
    -0.000278952    -0.000313086
     -0.00142348    -0.000697005
     -6.0252e-05    -4.29767e-05
    -0.000317647    -0.000222274
     -8.2029e-05    -8.29817e-05
    -0.000292079    -8.59609e-05
     -3.6541e-05    -5.94298e-05
      -1.194e-05    -5.32976e-06
     -0.00181043     -0.00116105
     -9.6662e-05    -6.61355e-05
     -0.00011395    -0.000171459
     -4.9491e-05    -3.08749e-05
     -0.00103617     -0.00072729
     -2.1754e-05    -1.43048e-05
     -0.00118424     -0.00111472
     -0.00021259    -0.000273509
    -0.000173038     -0.00010707
    -0.000210073    -0.000151405
    -0.000414578    -0.000474745
     -1.1776e-05    -1.62224e-05
     -6.4834e-05    -4.22441e-05
    -0.000430021     -0.00025344
    -0.000301063    -0.000383244
     -1.4666e-05    -3.12071e-05
     -4.5419e-05     -2.0109e-05
    -0.000753338    -0.000625677
     -6.8864e-05    -3.46643e-05
    -0.000835664    -0.000408491
    -0.000641873    -0.000946734
    -0.000319444    -0.000273867
     -2.2826e-05     -1.4046e-05
    -0.000105059    -6.96009e-05
     -0.00189201     -0.00135979
    -0.000705637     -0.00110191
     -0.00021286    -0.000304663
     -0.00243798     -0.00154439
     -3.2922e-05    -4.21321e-05
     -1.7161e-05    -1.01147e-05
    -0.000557028    -0.000556314
     -2.8353e-05    -1.39313e-05
    -0.000569916    -0.000302921
    -0.000136383    -0.000167363
     -1.8097e-05    -4.87003e-06
    -0.000121362    -7.33079e-05
     -3.2354e-05    -6.66997e-05
     -1.3236e-05    -1.48765e-05
     -0.00114158     -0.00142287
     -0.00183737      -0.0016662
    -0.000180438    -0.000223904
      -6.651e-06    -2.26931e-06
     -7.8476e-05    -6.78371e-05
    -0.000218582    -0.000192195
    -0.000131528    -0.000206673
     -3.7039e-05     -1.0893e-05
      -2.606e-05    -2.30069e-05
     -0.00197609     -0.00131765
    -0.000257018    -0.000146469
     -2.0482e-05    -5.44594e-06
     -6.0624e-05    -4.32647e-05
     -5.1506e-05    -4.83138e-05
     -0.00182055     -0.00113491
     -0.00150857     -0.00113594
      -7.427e-06    -4.08374e-06
    -0.000998816    -0.000635262
     -1.6459e-05    -1.12477e-05
     -7.7066e-05    -9.65214e-05
     -5.9344e-05    -4.73191e-05
    -0.000105583    -2.98024e-05
     -1.9849e-05    -1.21803e-05
     -2.7263e-05    -5.11707e-05
     -1.9915e-05    -4.12657e-05
    -0.000128909    -0.000216744
     -5.8399e-05    -0.000125884
     -0.00014651    -0.000180855
    -0.000239476    -0.000120809
      -0.0015675     -0.00133775
    -0.000435458    -0.000680078
    -0.000964445    -0.000905388
     -0.00213035     -0.00249712
    -0.000119357    -8.72197e-05
     -1.2281e-05    -1.70993e-05
     -1.5108e-05    -1.17958e-05
     -0.00106686    -0.000881608
     -2.9137e-05     -2.0918e-05
     -8.5821e-05    -0.000105662
     -0.00238914     -0.00152988
     -0.00104893    -0.000869186
     -1.8101e-05    -1.62079e-05
    -0.000117581    -0.000132074
     -4.3153e-05    -7.16691e-05
     -0.00054892     -0.00143724
    -0.000861431     -0.00094461
     -0.00196554    -0.000960845
      -8.313e-05    -0.000120277
     -3.0597e-05    -2.66268e-05
    -0.000876922    -0.000937114
     -4.6694e-05    -3.56689e-05
