QM Energy	FF Energy
     -0.00012567    -0.000301224
    -0.000754697     -0.00110328
     -6.0354e-05     -7.3589e-05
     -0.00141283     -0.00219818
    -0.000460705    -0.000815839
    -0.000544869    -0.000486652
     -0.00301394     -0.00252767
    -0.000729526    -0.000731321
     -3.0688e-05    -4.12424e-05
    -0.000278383    -0.000367978
     -7.8927e-05    -0.000117465
     -9.5131e-05    -9.99041e-05
     -0.00101853     -0.00133975
     -3.0039e-05    -4.07332e-05
     -6.1268e-05    -7.47082e-05
    -0.000138124    -0.000221717
      -0.0042473      -0.0041124
     -0.00023866     -0.00024288
     -0.00115304     -0.00148946
    -0.000254705    -0.000661478
     -0.00191458     -0.00194053
    -0.000567066    -0.000733452
    -0.000100588    -0.000146659
     -6.5206e-05    -6.58442e-05
     -5.8517e-05    -6.50525e-05
    -0.000479307    -0.000751479
     -0.00129934     -0.00180107
     -8.6281e-05    -0.000158514
    -0.000465348     -0.00100464
    -0.000121581    -0.000230823
    -0.000147196    -0.000234531
    -0.000295637    -0.000780529
    -0.000511065    -0.000568177
     -2.8343e-05    -3.50719e-05
    -0.000730198     -0.00147402
      -0.0011568     -0.00174075
    -0.000910797     -0.00110776
    -0.000127401    -0.000273801
     -9.2852e-05    -0.000119059
     -6.9477e-05    -6.97603e-05
     -0.00103386     -0.00153469
     -3.3741e-05    -5.14939e-05
     -0.00108682     -0.00193867
    -0.000241312    -0.000257423
     -5.4838e-05    -5.51436e-05
     -5.8073e-05     -9.1203e-05
     -0.00385303      -0.0035189
     -7.5505e-05    -0.000120832
    -0.000350457    -0.000588254
    -0.000255173    -0.000218426
    -0.000101935    -0.000102309
     -0.00148031     -0.00134763
     -0.00102584     -0.00118028
    -0.000253589    -0.000248627
    -0.000395858    -0.000880345
    -0.000685227     -0.00104641
    -0.000221553    -0.000247033
    -0.000918235     -0.00157913
    -0.000127084    -0.000130954
    -0.000206228    -0.000391921
    -0.000120515    -0.000144529
    -0.000232978    -0.000495328
     -5.7544e-05    -7.04276e-05
     -4.1555e-05    -5.40067e-05
     -0.00117664     -0.00161947
    -0.000130619     -0.00013526
    -0.000216373    -0.000224617
     -8.7385e-05    -8.57376e-05
     -0.00062818     -0.00096133
     -8.5261e-05    -9.37884e-05
    -0.000896101    -0.000999087
    -0.000161427     -0.00022715
    -0.000230869    -0.000233505
    -0.000144151    -0.000190604
    -0.000169822    -0.000362894
     -3.4727e-05    -3.96869e-05
     -9.6818e-05    -0.000112148
    -0.000266935    -0.000360078
    -0.000227788    -0.000250682
     -5.7898e-05    -5.72818e-05
     -6.9451e-05    -0.000108693
    -0.000494855    -0.000498812
     -9.3163e-05    -0.000145487
    -0.000595398     -0.00124674
    -0.000571131    -0.000441281
    -0.000398375    -0.000622831
     -7.2737e-05    -7.63674e-05
    -0.000119058     -0.00018423
     -0.00171911     -0.00217286
     -0.00402154     -0.00417386
    -0.000180746    -0.000201664
     -0.00172773     -0.00163281
     -6.9143e-05    -8.60839e-05
     -6.1936e-05    -6.94056e-05
    -0.000498685    -0.000513732
     -5.0556e-05    -7.57133e-05
    -0.000259358    -0.000608965
    -0.000148694    -0.000207594
     -7.3274e-05    -8.54743e-05
    -0.000104994    -0.000187613
     -8.7235e-05    -8.44741e-05
     -3.9577e-05    -4.27111e-05
    -0.000891519    -0.000615116
     -0.00112434     -0.00104559
    -0.000179491    -0.000224086
     -4.1801e-05    -4.62834e-05
    -0.000103084    -0.000149889
    -0.000101098     -0.00023449
    -0.000156446    -0.000142353
     -9.2686e-05    -0.000119727
     -4.0649e-05    -6.91718e-05
     -0.00148832     -0.00147981
    -0.000233401    -0.000255429
     -6.6746e-05     -8.1195e-05
     -8.7366e-05    -0.000103119
     -7.9817e-05    -8.13536e-05
    -0.000916003     -0.00109893
     -0.00103036     -0.00124436
     -3.2189e-05    -4.13369e-05
    -0.000583974     -0.00105782
     -5.3963e-05    -5.39495e-05
    -0.000128443    -0.000139908
     -8.6513e-05    -9.13285e-05
    -0.000152919     -0.00024893
     -6.3799e-05    -6.34405e-05
     -7.5928e-05    -7.57258e-05
     -6.5846e-05    -6.56755e-05
    -0.000148612    -0.000150697
    -0.000161953    -0.000146967
    -0.000135506     -0.00015601
    -0.000147044    -0.000347489
     -0.00109154     -0.00109999
    -0.000450387    -0.000376238
    -0.000576599    -0.000604699
     -0.00386513     -0.00309677
     -0.00010571    -0.000140888
     -3.8832e-05    -4.59553e-05
     -5.3995e-05    -5.35718e-05
    -0.000536024    -0.000809081
     -4.9997e-05    -7.85379e-05
    -0.000111621    -0.000163382
     -0.00237144     -0.00280575
    -0.000526173    -0.000770947
     -5.8797e-05    -6.62354e-05
     -0.00012716    -0.000138909
    -0.000109057    -0.000105155
     -0.00390754     -0.00380012
