QM Energy	FF Energy
      -0.0087648     -0.00939353
      -0.0059155     -0.00629428
     -0.00373788      -0.0038514
     -0.00228199     -0.00225823
    -0.000849411    -0.000792564
    -0.000335083     -0.00030725
    -0.000144716    -0.000133688
     -3.5751e-05    -3.39442e-05
     -0.00919694     -0.00966958
     -0.00527221     -0.00540526
     -0.00304541     -0.00303329
     -0.00177524     -0.00172515
    -0.000628669    -0.000593441
    -0.000241738    -0.000224342
    -0.000110119    -0.000100242
     -3.0041e-05    -2.64042e-05
      -4.369e-06    -3.65704e-06
     -0.00884633     -0.00906768
     -0.00620028     -0.00631496
     -0.00372922     -0.00371874
     -0.00218197     -0.00210021
    -0.000789289    -0.000722377
    -0.000311811    -0.000280323
    -0.000136185    -0.000122908
     -3.4258e-05     -3.1954e-05
      -0.0120433      -0.0133048
     -0.00665875     -0.00701371
     -0.00379842     -0.00381921
     -0.00221714      -0.0021423
    -0.000800974    -0.000734592
     -0.00755238     -0.00763227
     -0.00313366     -0.00310727
     -0.00190797     -0.00184525
      -0.0007086     -0.00065801
     -0.00939803     -0.00973763
      -0.0053736       -0.005381
     -0.00310597     -0.00300838
     -0.00182687     -0.00172544
    -0.000674725    -0.000623079
      -0.0101908      -0.0109486
     -0.00581078     -0.00602923
     -0.00334777      -0.0033442
     -0.00195066     -0.00188698
       -0.000696    -0.000649329
     -0.00516396     -0.00513479
     -0.00305544     -0.00294764
     -0.00183089     -0.00172516
    -0.000688911    -0.000635772
    -0.000281016    -0.000261064
    -0.000125929    -0.000119056
     -3.2873e-05    -3.20513e-05
      -4.524e-06    -4.51451e-06
     -0.00542857     -0.00534672
     -0.00113764     -0.00104995
     -0.00680382     -0.00708437
     -0.00133086     -0.00127637
     -0.00415027     -0.00410062
     -0.00568085     -0.00568619
     -0.00118747     -0.00109738
       -0.002925     -0.00281677
     -0.00574469     -0.00581523
     -0.00121157     -0.00112575
     -0.00296977     -0.00288505
     -0.00568797     -0.00574355
     -0.00120078     -0.00111823
     -0.00294167     -0.00285754
     -0.00574807     -0.00585358
     -0.00121434     -0.00113077
     -0.00297564     -0.00290094
     -0.00560089     -0.00561138
     -0.00117236     -0.00108957
     -0.00288547     -0.00278849
     -0.00611773     -0.00629888
     -0.00132735     -0.00123134
       -0.003211     -0.00314214
     -0.00476967     -0.00473136
     -0.00103925    -0.000968689
     -0.00250249     -0.00239886
     -0.00484139     -0.00485217
     -0.00106288     -0.00099521
     -0.00254921       -0.002462
     -0.00485156     -0.00486737
     -0.00106502     -0.00099798
     -0.00255512     -0.00246943
     -0.00482233     -0.00483244
     -0.00105983     -0.00099311
     -0.00253987     -0.00245455
     -0.00478673     -0.00474843
     -0.00104275    -0.000971842
     -0.00251198     -0.00240722
     -0.00529455     -0.00538084
     -0.00118395     -0.00110102
     -0.00281674     -0.00272994
     -0.00565271     -0.00566273
      -0.0011822     -0.00109504
      -0.0029122     -0.00280779
     -0.00573628     -0.00585041
     -0.00121329     -0.00113027
     -0.00297188     -0.00289937
     -0.00573369     -0.00584319
     -0.00121256      -0.0011298
     -0.00297042       -0.002897
     -0.00120592     -0.00112412
     -0.00295385     -0.00287796
     -0.00564332     -0.00565268
     -0.00118036     -0.00109451
     -0.00290776     -0.00280471
     -0.00613972     -0.00635894
      -0.0013366      -0.0012371
     -0.00322905     -0.00316263
      -0.0046399     -0.00465782
    -0.000973257    -0.000927498
     -0.00238829     -0.00233623
      -0.0047103     -0.00475783
    -0.000995158    -0.000949753
     -0.00243209     -0.00238889
     -0.00473198     -0.00477813
    -0.000999875      -0.0009518
     -0.00244288     -0.00239666
     -0.00473731     -0.00479523
    -0.000999834    -0.000954539
     -0.00244533     -0.00240454
     -0.00466077     -0.00467188
    -0.000978303    -0.000928371
     -0.00239894     -0.00234081
      -0.0053334     -0.00548323
     -0.00113091      -0.0010703
     -0.00276125     -0.00272696
