QM Energy	FF Energy
     -0.00162499     -0.00162368
     -0.00199264     -0.00201722
     -0.00635245     -0.00686348
     -0.00732792     -0.00754825
     -0.00573243     -0.00557667
     -0.00589819     -0.00619678
     -0.00277109     -0.00273192
     -0.00807677     -0.00868015
     -0.00590768     -0.00612755
     -0.00286301     -0.00288287
     -0.00322065     -0.00293665
      -0.0015019     -0.00149013
     -0.00317621     -0.00319472
     -0.00317016      -0.0028968
     -0.00989892       -0.010369
      -0.0137577      -0.0140376
     -0.00313026     -0.00301507
     -0.00163627     -0.00147753
     -0.00326433     -0.00358675
     -0.00147723     -0.00148103
     -0.00705032     -0.00764376
     -0.00201825      -0.0019786
     -0.00837727     -0.00879026
     -0.00377989     -0.00375189
     -0.00845454     -0.00907649
     -0.00388394     -0.00404451
     -0.00350395     -0.00342293
      -0.0163967      -0.0167315
      -0.0016226      -0.0014653
     -0.00632528     -0.00604357
     -0.00253654     -0.00257788
      -0.0067148     -0.00649288
     -0.00837802     -0.00921681
     -0.00166955     -0.00166091
      -0.0254199      -0.0259063
     -0.00674892     -0.00661129
     -0.00132304     -0.00128344
     -0.00195239     -0.00190809
     -0.00285222     -0.00286976
     -0.00363721     -0.00344567
     -0.00170648     -0.00157119
     -0.00684333     -0.00643901
     -0.00117289     -0.00111832
     -0.00174245      -0.0017203
     -0.00329299     -0.00350709
     -0.00439386     -0.00456209
     -0.00811878     -0.00814514
      -0.0183726      -0.0180354
     -0.00639353     -0.00669006
      -0.0312263      -0.0319653
      -0.0164742      -0.0163626
     -0.00384063      -0.0039349
     -0.00386843     -0.00360463
     -0.00775381     -0.00827852
     -0.00204035     -0.00205849
      -0.0016155     -0.00147316
     -0.00230224     -0.00230584
     -0.00466946     -0.00478558
      -0.0106011      -0.0101616
     -0.00237087     -0.00250704
       -0.010283      -0.0105362
      -0.0031901     -0.00310889
      -0.0025527      -0.0024882
     -0.00554114     -0.00493627
     -0.00202494     -0.00196369
     -0.00107517     -0.00104753
     -0.00601388     -0.00568218
     -0.00313164     -0.00305428
      -0.0020878     -0.00199675
     -0.00522433     -0.00515381
     -0.00277612     -0.00276029
     -0.00569445     -0.00629381
     -0.00618486     -0.00592597
     -0.00840404     -0.00857337
     -0.00755212     -0.00728997
     -0.00259259     -0.00231676
     -0.00625139     -0.00653834
     -0.00254553     -0.00258224
      -0.0026613     -0.00263341
     -0.00193467     -0.00190677
     -0.00488463     -0.00515164
     -0.00225724     -0.00193516
     -0.00523825     -0.00535261
      -0.0066828     -0.00672715
     -0.00456512     -0.00423082
      -0.0127746      -0.0135532
     -0.00403326     -0.00407355
     -0.00438515     -0.00446491
     -0.00986185      -0.0103639
      -0.0105809      -0.0109254
     -0.00399235     -0.00395157
      -0.0041658     -0.00426993
     -0.00150109      -0.0014508
     -0.00842471     -0.00850284
     -0.00171094     -0.00167246
     -0.00513104     -0.00488381
      -0.0105482      -0.0104173
     -0.00362011     -0.00353549
      -0.0038854     -0.00367641
     -0.00377947     -0.00372305
       -0.011458      -0.0114389
     -0.00158114     -0.00144657
     -0.00728105     -0.00725543
     -0.00955963      -0.0101877
     -0.00287345     -0.00302535
     -0.00408055      -0.0039613
     -0.00463565     -0.00449571
     -0.00341582     -0.00324086
     -0.00130593     -0.00131729
     -0.00442314     -0.00441225
     -0.00808761     -0.00801196
      -0.0108991      -0.0117535
     -0.00188241     -0.00176115
     -0.00638844     -0.00660853
     -0.00153768      -0.0013958
     -0.00165486      -0.0015099
     -0.00393503     -0.00398785
     -0.00217602     -0.00222438
     -0.00167601      -0.0016725
     -0.00510106     -0.00562697
     -0.00445303     -0.00433127
     -0.00268084     -0.00275408
     -0.00133312     -0.00134135
     -0.00211713     -0.00204951
     -0.00502664     -0.00509967
     -0.00979578       -0.010681
     -0.00606925     -0.00636464
     -0.00383568     -0.00395608
     -0.00728055     -0.00733774
     -0.00554367     -0.00535369
     -0.00156886     -0.00144674
     -0.00315107     -0.00301623
      -0.0109115      -0.0110836
     -0.00444182     -0.00438632
     -0.00418823     -0.00411176
     -0.00536331     -0.00543291
     -0.00293733     -0.00281808
     -0.00172399     -0.00172017
     -0.00539325     -0.00555073
      -0.0110898      -0.0112493
     -0.00165032      -0.0016517
     -0.00185997     -0.00183271
     -0.00183264     -0.00184909
     -0.00202612     -0.00190735
     -0.00547759     -0.00545198
       -0.011174       -0.012162
      -0.0121009      -0.0128888
     -0.00194528     -0.00196912
     -0.00228131     -0.00211865
     -0.00283552     -0.00282149
     -0.00479842     -0.00509244
     -0.00139749     -0.00132529
     -0.00211215     -0.00219809
     -0.00746243     -0.00791775
     -0.00857677     -0.00804995
     -0.00972708      -0.0097938
      -0.0107603      -0.0108416
      -0.0100779     -0.00978024
     -0.00363716     -0.00338753
     -0.00453065     -0.00480174
     -0.00202964      -0.0019132
     -0.00385964     -0.00386887
     -0.00231531     -0.00222293
     -0.00205788     -0.00205475
     -0.00640481     -0.00634484
     -0.00241298     -0.00250453
      -0.0025183     -0.00242057
     -0.00375031     -0.00380611
     -0.00389397     -0.00372531
     -0.00425344     -0.00401775
     -0.00203414     -0.00215333
     -0.00147291      -0.0014732
     -0.00554278     -0.00536127
     -0.00760058     -0.00749481
     -0.00715156      -0.0074712
     -0.00108612     -0.00107402
      -0.0107329      -0.0118554
     -0.00452307      -0.0044859
     -0.00665915     -0.00671181
     -0.00404342     -0.00409041
      -0.0122857      -0.0123152
     -0.00201514     -0.00186747
      -0.0102828      -0.0101446
      -0.0147425      -0.0144527
     -0.00455008     -0.00459063
     -0.00222401     -0.00224865
     -0.00541022     -0.00546901
     -0.00945315     -0.00891796
     -0.00152649      -0.0014526
     -0.00156535     -0.00139624
     -0.00241178     -0.00231388
     -0.00262742     -0.00262617
     -0.00173593     -0.00172509
     -0.00334352     -0.00321664
     -0.00378618     -0.00377142
     -0.00146699     -0.00148484
       -0.014371      -0.0148461
     -0.00350051      -0.0035833
     -0.00246616     -0.00243284
     -0.00583031     -0.00532114
       -0.001387     -0.00140075
      -0.0195046      -0.0200495
      -0.0170448      -0.0170877
     -0.00185274     -0.00189719
     -0.00356406     -0.00349639
       -0.011019      -0.0108293
     -0.00231992     -0.00232754
     -0.00550909     -0.00545357
      -0.0034714     -0.00345995
     -0.00182171     -0.00173708
    -0.000858507     -0.00082939
     -0.00890713     -0.00965513
      -0.0018987     -0.00190923
     -0.00152634     -0.00150313
       -0.011938      -0.0125345
     -0.00919541     -0.00972081
       -0.012157      -0.0122298
     -0.00228856     -0.00237498
     -0.00194666     -0.00186829
     -0.00608578     -0.00606853
     -0.00380442     -0.00354848
     -0.00167103      -0.0017165
     -0.00202172     -0.00197416
     -0.00318265     -0.00343437
     -0.00840227     -0.00841879
     -0.00611073     -0.00618961
     -0.00117832     -0.00110723
     -0.00262327     -0.00256723
     -0.00282466     -0.00295754
     -0.00338536     -0.00318041
     -0.00335518     -0.00346672
     -0.00280876     -0.00259355
     -0.00165414     -0.00168797
     -0.00393485     -0.00376671
     -0.00154301      -0.0014507
      -0.0084496     -0.00837284
      -0.0109016      -0.0111138
     -0.00939081     -0.00960781
     -0.00112302     -0.00108796
     -0.00162123     -0.00148704
       -0.003472     -0.00333689
     -0.00264237     -0.00260921
       -0.014204      -0.0145355
     -0.00153332     -0.00137381
     -0.00201681     -0.00189338
      -0.0052893     -0.00528042
     -0.00596446     -0.00553761
      -0.0052199     -0.00528226
      -0.0034611     -0.00339931
     -0.00150105     -0.00149177
     -0.00234695      -0.0021485
     -0.00394609     -0.00398077
      -0.0077108     -0.00794005
     -0.00702535     -0.00736681
     -0.00230231     -0.00228751
     -0.00258536     -0.00248417
     -0.00149585     -0.00144792
      -0.0024433      -0.0024621
     -0.00169704     -0.00164217
     -0.00324324     -0.00320844
     -0.00397457     -0.00387124
     -0.00212998     -0.00193781
     -0.00560841     -0.00616654
     -0.00233189     -0.00214849
     -0.00606946     -0.00648698
     -0.00546148     -0.00583073
     -0.00559417     -0.00521762
      -0.0029564     -0.00309361
     -0.00564349     -0.00600818
     -0.00242706     -0.00234209
     -0.00370972     -0.00367292
     -0.00306756     -0.00323128
     -0.00252158     -0.00250849
     -0.00644551     -0.00667052
     -0.00605369     -0.00631617
     -0.00944084     -0.00926314
     -0.00515979      -0.0052692
     -0.00347425      -0.0036821
     -0.00180153     -0.00188174
     -0.00702159     -0.00743088
     -0.00116231     -0.00115242
     -0.00340839     -0.00340062
      -0.0110954      -0.0111655
     -0.00595902       -0.005643
     -0.00785676     -0.00778954
     -0.00127734     -0.00122389
     -0.00241712     -0.00237403
     -0.00959595     -0.00956719
     -0.00176274     -0.00166474
     -0.00186415     -0.00177882
       -0.010537      -0.0107864
     -0.00122619     -0.00119665
     -0.00357561     -0.00355958
     -0.00185413     -0.00186054
     -0.00817219     -0.00874469
      -0.0192054      -0.0192878
     -0.00269685     -0.00277095
     -0.00167787     -0.00157456
     -0.00293563     -0.00293098
     -0.00931959     -0.00909926
     -0.00160788     -0.00153697
     -0.00183563     -0.00181805
     -0.00216934     -0.00220159
       -0.016619      -0.0181764
     -0.00348515     -0.00368946
     -0.00662893     -0.00648759
     -0.00179704     -0.00185197
     -0.00718972     -0.00754956
     -0.00108852     -0.00104256
     -0.00524539      -0.0049489
     -0.00140606     -0.00137319
     -0.00501259     -0.00496335
     -0.00403821     -0.00425233
     -0.00232862     -0.00219256
     -0.00104998    -0.000971857
     -0.00611841     -0.00595916
     -0.00197721     -0.00209078
     -0.00128692     -0.00127321
     -0.00637616     -0.00676667
     -0.00738549     -0.00735767
     -0.00490011     -0.00473901
      -0.0179409      -0.0182347
      -0.0126012      -0.0130675
     -0.00147797     -0.00137588
     -0.00726029     -0.00749075
     -0.00287298     -0.00272004
     -0.00101518    -0.000965876
     -0.00159953     -0.00162693
     -0.00226913     -0.00220122
      -0.0154073      -0.0152366
     -0.00658119     -0.00687341
     -0.00524964     -0.00547905
     -0.00759018     -0.00777836
     -0.00126017     -0.00120031
     -0.00281545     -0.00273376
     -0.00594226     -0.00558257
    -0.000970995    -0.000939958
     -0.00463162     -0.00453194
