QM Energy	FF Energy
     -2.6491e-05    -2.42947e-05
        -9.4e-05    -7.57013e-05
    -0.000716828    -0.000927332
    -0.000797756     -0.00099925
    -0.000563195    -0.000508457
    -0.000605734    -0.000521624
    -0.000151509    -0.000192799
     -0.00115689      -0.0011228
    -0.000766864    -0.000585357
    -0.000167294    -0.000137101
    -0.000199273    -0.000194449
      -4.275e-05    -6.83091e-05
    -0.000238806    -0.000244403
     -5.6404e-05    -5.19433e-05
     -0.00146159     -0.00171814
     -0.00219482     -0.00192094
    -0.000199796     -0.00024875
     -6.1144e-05     -7.5821e-05
    -0.000140629    -0.000250427
     -2.2029e-05    -3.73586e-05
    -0.000969655     -0.00118811
     -1.9423e-05    -1.73643e-05
     -0.00141758     -0.00118272
    -0.000524397    -0.000534196
     -0.00122757     -0.00123335
    -0.000225939    -0.000248063
     -7.3768e-05    -8.65159e-05
     -0.00219908     -0.00235927
     -3.8592e-05    -4.62041e-05
    -0.000269743    -0.000277238
    -0.000220486    -0.000229634
    -0.000344811    -0.000295074
     -0.00106573     -0.00152541
     -4.2173e-05    -5.20474e-05
       -0.004106     -0.00413449
    -0.000521628    -0.000489368
     -1.8171e-05    -2.35664e-05
     -3.4546e-05    -4.67448e-05
    -0.000199482    -0.000199494
    -0.000197332     -0.00017314
     -7.4228e-05    -9.32506e-05
    -0.000270034     -0.00026566
     -1.4009e-05    -2.96064e-05
     -5.7288e-05    -9.58055e-05
      -0.0001899    -0.000235003
     -0.00054032    -0.000489928
     -0.00174918     -0.00146893
      -0.0019434     -0.00217142
    -0.000543618    -0.000615919
     -0.00524257     -0.00540462
     -0.00188958      -0.0016278
    -0.000406743    -0.000353361
    -0.000235154    -0.000182033
     -0.00127154     -0.00130907
     -2.5844e-05     -2.3794e-05
     -2.2044e-05    -2.60176e-05
     -5.4161e-05    -5.27271e-05
    -0.000383401    -0.000316168
     -0.00111137    -0.000961744
     -9.1467e-05    -0.000129125
     -0.00180552      -0.0013486
    -0.000115122    -8.97169e-05
     -7.9722e-05    -5.51434e-05
    -0.000255771    -0.000243878
      -4.534e-05    -3.79779e-05
     -1.9945e-05    -2.70445e-05
    -0.000300963    -0.000348124
    -0.000122009     -0.00013068
     -4.2679e-05    -3.99783e-05
    -0.000325557    -0.000341074
    -0.000281661    -0.000330293
    -0.000538688    -0.000740446
    -0.000496746    -0.000455044
     -0.00132034     -0.00119992
     -0.00102082    -0.000813016
     -5.4926e-05    -6.40984e-05
     -0.00100695    -0.000777555
     -8.3541e-05    -9.72707e-05
     -9.0497e-05    -6.99377e-05
     -4.8493e-05    -6.32383e-05
    -0.000401419    -0.000369157
     -2.2928e-05    -1.63467e-05
    -0.000754694    -0.000536117
    -0.000527637    -0.000488087
    -0.000289222    -0.000253106
     -0.00198272      -0.0019105
    -0.000382575    -0.000392135
    -0.000269594    -0.000238055
     -0.00143526     -0.00125097
     -0.00147275     -0.00126845
    -0.000359018    -0.000330223
    -0.000287578    -0.000286126
     -3.3751e-05    -2.98935e-05
     -0.00152265     -0.00146419
     -4.4326e-05    -3.99808e-05
    -0.000381772    -0.000369574
     -0.00185238     -0.00148259
    -0.000226307    -0.000214934
    -0.000133344    -0.000118596
      -0.0002118    -0.000145765
     -0.00177604     -0.00150321
     -2.0786e-05    -1.62414e-05
     -0.00067362    -0.000512095
     -0.00141995     -0.00145803
    -0.000151987    -0.000200486
     -6.9466e-05    -7.80447e-05
    -0.000348829    -0.000323349
    -0.000114279    -0.000114014
     -2.4751e-05    -2.19228e-05
    -0.000360895    -0.000280538
       -0.001012    -0.000950516
     -0.00134345     -0.00150607
      -3.358e-05    -3.10167e-05
      -0.0011912     -0.00111735
     -3.3246e-05    -3.23169e-05
     -2.9751e-05    -2.77621e-05
     -0.00034063    -0.000276593
     -9.3569e-05    -0.000129398
     -3.3383e-05    -2.93738e-05
    -0.000436472    -0.000555175
    -0.000314803    -0.000300191
    -0.000101939    -0.000111389
     -1.9022e-05    -2.84231e-05
    -0.000110082    -0.000150026
    -0.000626035     -0.00056787
     -0.00132652     -0.00143524
     -0.00075442    -0.000638747
    -0.000276703    -0.000325236
    -0.000877414    -0.000957924
    -0.000412427    -0.000496982
     -2.7282e-05    -2.71431e-05
     -9.7143e-05    -8.59855e-05
     -0.00201776     -0.00170265
     -0.00026037    -0.000263616
    -0.000282146    -0.000222891
    -0.000359184    -0.000380529
    -0.000345198     -0.00036465
     -4.3802e-05    -3.51284e-05
    -0.000522327    -0.000439225
     -0.00179213      -0.0017327
     -6.3417e-05    -7.77596e-05
     -7.1774e-05     -5.5744e-05
     -3.1702e-05    -4.47957e-05
     -5.1665e-05    -6.04552e-05
     -0.00121657     -0.00123596
    -0.000717134    -0.000653853
     -0.00188221     -0.00222292
     -0.00241919     -0.00277596
     -8.2219e-05    -0.000114449
     -4.8065e-05    -4.02749e-05
    -0.000153263    -0.000213642
    -0.000253337    -0.000297405
      -2.233e-05    -2.91229e-05
     -6.3969e-05    -9.23026e-05
    -0.000945727    -0.000888465
    -0.000935003    -0.000866171
     -0.00165788     -0.00131611
     -0.00129296     -0.00123154
     -0.00119278    -0.000986491
    -0.000187744    -0.000164647
    -0.000487671    -0.000491615
     -7.3471e-05    -9.13842e-05
    -0.000256257    -0.000266163
    -0.000113124    -0.000151369
     -6.4907e-05    -6.10538e-05
    -0.000679581    -0.000679254
     -7.5942e-05    -0.000100043
     -8.9277e-05    -7.83941e-05
    -0.000317533    -0.000296924
    -0.000216946    -0.000181262
     -0.00012698    -0.000136841
     -5.2815e-05    -0.000107566
     -2.3642e-05    -2.87549e-05
    -0.000369303    -0.000339411
    -0.000991821    -0.000871413
    -0.000564724    -0.000616399
     -1.8636e-05    -2.23154e-05
      -0.0015025     -0.00161096
    -0.000308286    -0.000263494
     -0.00107666    -0.000958765
    -0.000305223    -0.000350253
     -0.00248316     -0.00219946
     -3.3811e-05    -3.71705e-05
     -0.00218469     -0.00189276
     -0.00248052     -0.00252072
    -0.000297303    -0.000284155
     -0.00010271     -0.00011162
    -0.000566407    -0.000636492
    -0.000824473    -0.000724928
     -1.9582e-05    -1.69687e-05
     -5.9508e-05    -6.24201e-05
     -5.1437e-05    -8.10536e-05
    -0.000142575    -0.000198072
      -4.646e-05    -7.07339e-05
    -0.000203881     -0.00023176
    -0.000347365    -0.000431847
     -4.6105e-05    -3.75298e-05
      -0.0020067     -0.00198755
     -0.00019766    -0.000204216
    -0.000147491     -0.00011405
    -0.000385915    -0.000318882
     -3.1931e-05    -2.52394e-05
     -0.00331979     -0.00357438
     -0.00274717     -0.00277104
     -4.1006e-05    -5.33228e-05
    -0.000104181    -9.57662e-05
     -0.00179532     -0.00131892
    -0.000114226    -0.000105684
    -0.000302605    -0.000277398
    -0.000250055    -0.000251127
     -2.9164e-05      -2.444e-05
     -1.1869e-05    -2.00483e-05
     -0.00134979     -0.00144798
    -0.000125662    -0.000135666
        -4.2e-05    -3.36137e-05
     -0.00203678     -0.00236067
      -0.0011341      -0.0012888
       -0.002182     -0.00200495
     -5.7029e-05    -6.13809e-05
     -3.6706e-05    -3.89652e-05
    -0.000598099    -0.000420878
    -0.000133452    -0.000112965
     -6.1944e-05    -8.43711e-05
     -7.9172e-05    -0.000100485
    -0.000166111    -0.000201291
     -0.00110211     -0.00091875
      -0.0011865      -0.0010974
     -1.2489e-05    -1.32251e-05
    -0.000119959    -0.000120643
    -0.000230685    -0.000263268
    -0.000205632    -0.000182835
    -0.000230076    -0.000212602
     -7.9498e-05      -8.152e-05
     -3.4768e-05     -3.9733e-05
     -0.00017607    -0.000174885
     -3.5423e-05    -4.11667e-05
    -0.000882062    -0.000674574
     -0.00172607     -0.00161599
     -0.00132548     -0.00140057
     -2.1245e-05      -2.668e-05
     -2.7216e-05     -2.2507e-05
    -0.000103045    -8.97008e-05
     -4.5383e-05    -3.85749e-05
     -0.00270816     -0.00254809
      -9.193e-06    -8.09137e-06
     -2.6792e-05    -2.35354e-05
     -0.00052789    -0.000403939
    -0.000262742    -0.000234357
    -0.000265899    -0.000259392
    -0.000117364    -0.000131432
     -2.8182e-05    -4.05055e-05
     -5.4948e-05    -4.64327e-05
    -0.000469554    -0.000357723
    -0.000651973    -0.000660373
     -0.00115348    -0.000929939
    -0.000140031    -0.000152829
    -0.000104293    -0.000115386
     -2.5578e-05    -3.62997e-05
     -7.6684e-05    -6.46424e-05
     -3.3936e-05    -3.68572e-05
    -0.000143605    -0.000172696
    -0.000234243    -0.000245942
     -6.2579e-05    -5.87869e-05
    -0.000554868    -0.000776083
     -3.1367e-05    -3.09532e-05
    -0.000760522     -0.00096372
    -0.000576887    -0.000543895
    -0.000364767    -0.000335358
    -0.000168674    -0.000158081
    -0.000535302       -0.000596
    -0.000150059     -0.00018804
    -0.000233713    -0.000270674
