QM Energy	FF Energy
     -0.00162499     -0.00163836
     -0.00199264     -0.00196728
     -0.00635245     -0.00638647
     -0.00732792     -0.00753438
     -0.00573243      -0.0056905
     -0.00589819     -0.00588976
     -0.00277109     -0.00270981
     -0.00807677     -0.00796098
     -0.00590768     -0.00574578
     -0.00286301     -0.00278472
     -0.00322065     -0.00319493
      -0.0015019     -0.00147007
     -0.00317621     -0.00330699
     -0.00317016     -0.00317781
     -0.00989892     -0.00991904
      -0.0137577      -0.0135326
     -0.00313026     -0.00316158
     -0.00163627     -0.00149453
     -0.00326433     -0.00335567
     -0.00147723     -0.00143763
     -0.00705032     -0.00695273
     -0.00201825     -0.00203966
     -0.00837727     -0.00827756
     -0.00377989     -0.00370652
     -0.00845454     -0.00832675
     -0.00388394      -0.0038549
     -0.00350395      -0.0035413
      -0.0163967      -0.0162831
      -0.0016226     -0.00151303
     -0.00632528     -0.00644837
     -0.00253654      -0.0023935
      -0.0067148     -0.00665314
     -0.00837802     -0.00855822
     -0.00166955     -0.00162623
      -0.0254199       -0.025394
     -0.00674892     -0.00671849
     -0.00132304     -0.00131096
     -0.00195239     -0.00190043
     -0.00285222     -0.00274529
     -0.00363721     -0.00361271
     -0.00170648     -0.00160371
     -0.00684333     -0.00688609
     -0.00117289      -0.0011338
     -0.00174245     -0.00171853
     -0.00329299     -0.00330489
     -0.00439386     -0.00433936
     -0.00811878      -0.0081002
      -0.0183726      -0.0183153
     -0.00639353     -0.00641232
      -0.0312263      -0.0309632
      -0.0164742      -0.0163383
     -0.00384063     -0.00370939
     -0.00386843     -0.00377844
     -0.00775381     -0.00751405
     -0.00204035     -0.00205504
      -0.0016155     -0.00159836
     -0.00230224     -0.00232031
     -0.00466946     -0.00462569
      -0.0106011      -0.0104965
     -0.00237087     -0.00238568
       -0.010283      -0.0100147
      -0.0031901      -0.0031485
      -0.0025527       -0.002488
     -0.00554114     -0.00564947
     -0.00202494     -0.00200687
     -0.00107517     -0.00102042
     -0.00601388     -0.00614012
     -0.00313164     -0.00309573
      -0.0020878     -0.00206465
     -0.00522433     -0.00531117
     -0.00277612     -0.00266512
     -0.00569445     -0.00570582
     -0.00618486     -0.00618199
     -0.00840404     -0.00822891
     -0.00755212     -0.00748746
     -0.00259259     -0.00253753
     -0.00625139     -0.00616216
     -0.00254553     -0.00263511
      -0.0026613     -0.00259892
     -0.00193467     -0.00192209
     -0.00488463     -0.00487247
     -0.00225724     -0.00216914
     -0.00523825     -0.00505596
      -0.0066828     -0.00677047
     -0.00456512     -0.00452113
      -0.0127746      -0.0125644
     -0.00403326     -0.00392575
     -0.00438515     -0.00430206
     -0.00986185      -0.0096802
      -0.0105809      -0.0101772
     -0.00399235     -0.00401619
      -0.0041658     -0.00409714
     -0.00150109     -0.00144835
     -0.00842471     -0.00802776
     -0.00171094     -0.00165506
     -0.00513104     -0.00525204
      -0.0105482      -0.0105228
     -0.00362011     -0.00354087
