QM Energy	FF Energy
     -6.5012e-05    -6.17165e-05
     -9.6393e-05    -8.46594e-05
    -0.000549247    -0.000646853
    -0.000662858    -0.000878722
    -0.000435692     -0.00046176
    -0.000250657    -0.000264486
    -0.000293979     -0.00046901
     -0.00043425    -0.000440407
    -0.000278932    -0.000300493
    -0.000105801    -0.000107737
    -0.000381452    -0.000543695
    -0.000112586    -0.000153873
    -0.000266975    -0.000273209
    -0.000216194    -0.000196384
     -0.00125303      -0.0018792
    -0.000703746    -0.000818993
     -0.00036596    -0.000471571
    -0.000266372    -0.000361876
     -0.00018397    -0.000205342
     -5.8531e-05    -7.24546e-05
    -0.000624261    -0.000741389
     -7.0248e-05    -6.35528e-05
    -0.000668109    -0.000430884
    -0.000711594    -0.000972352
    -0.000473684    -0.000503728
    -0.000129724    -0.000165872
      -0.0001639    -0.000153625
     -0.00144586     -0.00142789
    -0.000204242    -0.000225141
    -0.000287501    -0.000336079
      -0.0002501    -0.000225086
    -0.000213608     -0.00024728
    -0.000953974     -0.00129138
     -9.7084e-05    -0.000101346
      -0.0015524     -0.00161877
    -0.000617629    -0.000677857
     -7.6066e-05    -7.24315e-05
    -0.000176376    -0.000135031
    -0.000201828    -0.000227171
    -0.000220906    -0.000262927
    -0.000265142    -0.000343732
    -0.000295495    -0.000340751
     -8.9776e-05    -0.000113082
    -0.000162966    -0.000228167
    -0.000170561      -0.0001913
    -0.000389568    -0.000337842
     -0.00114661     -0.00101724
    -0.000838215      -0.0010722
    -0.000608984    -0.000508522
     -0.00200438     -0.00198621
    -0.000484386    -0.000796392
    -0.000230548     -0.00020493
    -0.000297099    -0.000233923
    -0.000689327    -0.000563332
      -6.582e-05    -5.84581e-05
    -0.000148843    -0.000175204
    -0.000100248    -9.56591e-05
     -0.00016538    -0.000201051
    -0.000498829    -0.000513071
     -0.00012454    -0.000141335
    -0.000501461     -0.00062625
    -0.000112651    -0.000134135
     -7.6004e-05    -8.72397e-05
    -0.000447443    -0.000472116
     -8.3583e-05    -7.46157e-05
     -6.4772e-05    -7.69221e-05
    -0.000648342      -0.0008491
     -0.00021282    -0.000190951
     -8.6245e-05    -0.000102758
    -0.000237099    -0.000291338
    -0.000569992     -0.00085295
    -0.000505186    -0.000459594
    -0.000861346     -0.00135831
    -0.000938682     -0.00132472
    -0.000713518     -0.00104785
    -0.000372271    -0.000477279
    -0.000525114    -0.000320505
    -0.000115456    -0.000112606
       -7.44e-05    -8.88642e-05
    -0.000121208      -0.0001226
    -0.000230158     -0.00026199
    -0.000342669    -0.000372493
    -0.000379976    -0.000272807
    -0.000955134     -0.00135746
    -0.000325162    -0.000360961
    -0.000491918    -0.000700068
    -0.000242655    -0.000282983
      -0.0001443    -0.000182441
    -0.000567122    -0.000502822
