QM Energy	FF Energy
     -2.6491e-05    -1.62579e-05
        -9.4e-05    -5.98073e-05
    -0.000716828     -0.00086488
    -0.000797756     -0.00100447
    -0.000563195    -0.000474993
    -0.000605734    -0.000465962
    -0.000151509    -0.000163935
     -0.00115689     -0.00104473
    -0.000766864    -0.000547734
    -0.000167294    -0.000113667
    -0.000199273    -0.000189237
      -4.275e-05    -4.97812e-05
    -0.000238806    -0.000192011
     -5.6404e-05    -2.06202e-05
     -0.00146159     -0.00182928
     -0.00219482     -0.00190335
    -0.000199796    -0.000195841
     -6.1144e-05    -5.78434e-05
    -0.000140629     -0.00023915
     -2.2029e-05     -3.2702e-05
    -0.000969655      -0.0011275
     -1.9423e-05    -8.35076e-06
     -0.00141758     -0.00109748
    -0.000524397    -0.000428236
     -0.00122757     -0.00117575
    -0.000225939    -0.000211979
     -7.3768e-05    -5.62157e-05
     -0.00219908     -0.00231462
     -3.8592e-05    -3.05516e-05
    -0.000269743    -0.000185424
    -0.000220486    -0.000230679
    -0.000344811     -0.00022321
     -0.00106573     -0.00146093
     -4.2173e-05    -4.75399e-05
       -0.004106     -0.00397495
    -0.000521628    -0.000370314
     -1.8171e-05    -1.84376e-05
     -3.4546e-05     -4.0549e-05
    -0.000199482    -0.000174506
    -0.000197332    -0.000150419
     -7.4228e-05    -5.84779e-05
    -0.000270034    -0.000158748
     -1.4009e-05    -2.08619e-05
     -5.7288e-05    -6.53181e-05
      -0.0001899    -0.000222816
     -0.00054032    -0.000456463
     -0.00174918     -0.00169866
      -0.0019434     -0.00186372
    -0.000543618    -0.000647987
     -0.00524257     -0.00507664
     -0.00188958      -0.0013669
    -0.000406743    -0.000334136
    -0.000235154    -0.000173514
     -0.00127154     -0.00126494
     -2.5844e-05    -1.65439e-05
     -2.2044e-05    -1.51224e-05
     -5.4161e-05    -3.78621e-05
    -0.000383401    -0.000263186
     -0.00111137    -0.000967897
     -9.1467e-05    -0.000120747
     -0.00180552     -0.00131437
    -0.000115122     -7.0925e-05
     -7.9722e-05    -4.28008e-05
    -0.000255771     -0.00012349
      -4.534e-05    -2.88457e-05
     -1.9945e-05    -2.55444e-05
    -0.000300963    -0.000225443
    -0.000122009     -0.00012043
     -4.2679e-05     -2.9739e-05
    -0.000325557    -0.000273429
    -0.000281661    -0.000220355
    -0.000538688    -0.000741498
    -0.000496746    -0.000349518
     -0.00132034     -0.00125533
     -0.00102082    -0.000914528
     -5.4926e-05    -1.70509e-05
     -0.00100695    -0.000730632
     -8.3541e-05    -6.67892e-05
     -9.0497e-05    -5.79319e-05
     -4.8493e-05    -5.34673e-05
    -0.000401419    -0.000337111
     -2.2928e-05     6.22568e-05
    -0.000754694    -0.000495236
    -0.000527637    -0.000169811
    -0.000289222    -0.000232781
     -0.00198272     -0.00178388
    -0.000382575    -0.000363221
    -0.000269594    -0.000211293
     -0.00143526     -0.00116606
     -0.00147275     -0.00125259
    -0.000359018    -0.000297513
    -0.000287578    -0.000240282
     -3.3751e-05    -2.29929e-05
     -0.00152265     -0.00139544
