# Eelst 		 Emultipole 
     -0.00031771      -0.00018027
     -0.00046910      -0.00019136
     -0.00387084      -0.00113363
     -0.00388965      -0.00029941
     -0.00026286       0.00178695
     -0.00175662       0.00015276
     -0.00134996      -0.00065654
     -0.00458179      -0.00064121
     -0.00248840      -0.00008947
     -0.00075301      -0.00023744
     -0.00054480       0.00039505
     -0.00076659      -0.00057916
     -0.00161555      -0.00082023
      0.00067761       0.00099213
     -0.00607104      -0.00011208
     -0.01044853      -0.00032910
     -0.00241223      -0.00139638
     -0.00118160      -0.00083839
      0.00021254       0.00079347
      0.00031424       0.00040583
     -0.00399116      -0.00044295
      0.00076329       0.00082395
     -0.00523947      -0.00046591
     -0.00452842      -0.00246861
     -0.00530893      -0.00080976
     -0.00143749      -0.00057727
      0.00051067       0.00081980
     -0.01031497       0.00227373
     -0.00090844      -0.00066314
      0.00027153       0.00159911
     -0.00034908       0.00029824
     -0.00035787       0.00122320
     -0.00630085      -0.00198460
      0.00070901       0.00081843
     -0.02200822       0.00038001
      0.00051692       0.00283092
      0.00012495       0.00022526
      0.00070658       0.00089677
     -0.00110461      -0.00048355
     -0.00136999      -0.00054119
     -0.00161749      -0.00119164
      0.00047606       0.00186455
     -0.00009295      -0.00006996
     -0.00115901      -0.00088725
     -0.00001360       0.00067186
     -0.00186921      -0.00017592
     -0.00741710      -0.00084154
     -0.00865176       0.00360344
     -0.00120892       0.00134248
     -0.02768277       0.00312763
     -0.00671289       0.00220564
     -0.00045736       0.00084562
     -0.00003473       0.00099461
     -0.00472439      -0.00023077
     -0.00026014      -0.00011557
      0.00013882       0.00024824
     -0.00032320      -0.00014366
     -0.00187136      -0.00066144
     -0.00427328       0.00164906
      0.00003895       0.00040013
     -0.00727744      -0.00066855
     -0.00071388      -0.00027508
     -0.00025792       0.00000703
      0.00009465       0.00177135
      0.00001638       0.00018489
      0.00026238       0.00032106
     -0.00072550       0.00175996
      0.00038739       0.00090827
      0.00045389       0.00061191
     -0.00221801      -0.00082323
     -0.00350967      -0.00224242
     -0.00025953       0.00150551
     -0.00102585       0.00242863
     -0.00671704      -0.00114967
     -0.00377927       0.00069979
      0.00009282       0.00062760
     -0.00298825      -0.00019961
     -0.00077867      -0.00046974
      0.00012289       0.00048913
     -0.00003424       0.00020724
     -0.00102893       0.00029856
      0.00230052       0.00234895
     -0.00196373       0.00017369
      0.00134370       0.00449187
     -0.00186085      -0.00046587
     -0.00932265      -0.00083812
     -0.00136629       0.00001109
     -0.00081387       0.00021129
     -0.00464044       0.00004747
     -0.00504320       0.00117165
     -0.00139052      -0.00017690
     -0.00142297      -0.00041368
     -0.00004960       0.00004762
     -0.00635213      -0.00121120
     -0.00001731       0.00011877
      0.00001452       0.00176636
     -0.00678583       0.00159033
     -0.00246196      -0.00157237
      0.00029933       0.00096128
     -0.00071309       0.00003357
     -0.00539631       0.00162689
      0.00054379       0.00067684
     -0.00271227      -0.00002559
     -0.00584968      -0.00062129
     -0.00044853       0.00009557
      0.00081473       0.00121189
      0.00117055       0.00233520
      0.00070821       0.00179315
      0.00021118       0.00026077
     -0.00058409       0.00043928
     -0.00534484      -0.00147019
     -0.00651417      -0.00085552
     -0.00046058      -0.00026292
     -0.00389196      -0.00008316
     -0.00035732      -0.00014279
      0.00016139       0.00035922
     -0.00162756      -0.00052164
     -0.00011642       0.00027965
      0.00011942       0.00021009
     -0.00143945       0.00022152
     -0.00149566      -0.00014877
     -0.00081386      -0.00047264
      0.00007619       0.00015830
     -0.00221883      -0.00165637
     -0.00234081      -0.00024828
     -0.00502374       0.00003908
     -0.00323385      -0.00083907
     -0.00036319       0.00068056
     -0.00604183      -0.00238818
     -0.00299256      -0.00111981
      0.00013886       0.00027485
      0.00100701       0.00139222
     -0.00919242      -0.00154875
      0.00083295       0.00179351
     -0.00124811      -0.00021058
     -0.00115765       0.00029263
     -0.00366553      -0.00223217
      0.00021592       0.00035289
     -0.00137835       0.00037897
     -0.00902528      -0.00065130
     -0.00002108       0.00021636
