Edrude_ind 		 Edrude_dhf
     -0.00004775       0.00000001
     -0.00005383       0.00000057
     -0.00048880       0.00000517
     -0.00052904      -0.00001140
     -0.00038984      -0.00001034
     -0.00015282      -0.00000241
     -0.00045574      -0.00000117
     -0.00003417      -0.00000036
     -0.00038577      -0.00001490
     -0.00004790      -0.00000023
     -0.00049145      -0.00000188
     -0.00046122      -0.00001494
     -0.00031512       0.00000483
     -0.00020430      -0.00000272
     -0.00017589      -0.00000692
     -0.00020231      -0.00000236
     -0.00027355      -0.00000389
     -0.00007405      -0.00000062
     -0.00003850       0.00000027
     -0.00002261      -0.00000014
     -0.00045527      -0.00001761
     -0.00032179      -0.00000652
     -0.00079412       0.00004552
     -0.00008854      -0.00000173
     -0.00004022      -0.00000061
     -0.00028439       0.00000061
     -0.00014186      -0.00000142
     -0.00038224      -0.00001354
     -0.00025128       0.00000360
     -0.00012799       0.00000100
     -0.00038231       0.00000327
     -0.00009302       0.00000013
     -0.00022380      -0.00001020
     -0.00033231       0.00000886
     -0.00007527      -0.00000181
     -0.00008500      -0.00000163
     -0.00033878      -0.00003146
     -0.00002990       0.00000006
     -0.00020250      -0.00000402
     -0.00003494       0.00000028
     -0.00006422      -0.00000028
     -0.00044868      -0.00000046
     -0.00019609      -0.00000192
     -0.00007744      -0.00000099
     -0.00052010       0.00000491
     -0.00004885       0.00000017
     -0.00005799      -0.00000108
     -0.00005650      -0.00000075
     -0.00049161      -0.00000268
     -0.00019329      -0.00000222
     -0.00003380       0.00000006
     -0.00005397       0.00000033
     -0.00041195       0.00001343
     -0.00004767       0.00000006
     -0.00005646       0.00000030
     -0.00013249      -0.00000477
     -0.00019940      -0.00000349
     -0.00003923      -0.00000018
     -0.00057653      -0.00000430
     -0.00004960      -0.00000027
     -0.00020672      -0.00001312
     -0.00004631      -0.00000006
     -0.00032000      -0.00001937
     -0.00003695      -0.00000021
     -0.00033656      -0.00001091
     -0.00002605      -0.00000018
     -0.00004493       0.00000014
     -0.00027871      -0.00000427
     -0.00088617       0.00002188
     -0.00014416      -0.00000285
     -0.00031679      -0.00000996
     -0.00003819       0.00000024
     -0.00008830      -0.00000111
     -0.00005567      -0.00000006
     -0.00003432      -0.00000027
     -0.00003732      -0.00000008
     -0.00011930       0.00000007
     -0.00005177      -0.00000034
     -0.00006708      -0.00000025
     -0.00017206       0.00000078
     -0.00015319      -0.00000115
     -0.00007379      -0.00000138
     -0.00049535      -0.00000298
     -0.00029114      -0.00002135
     -0.00011893       0.00000024
     -0.00006504      -0.00000045
     -0.00008710       0.00000078
     -0.00004000      -0.00000022
     -0.00037803      -0.00001060
     -0.00005206       0.00000063
     -0.00011142      -0.00000141
     -0.00015395      -0.00000499
     -0.00010431      -0.00000152
     -0.00024376      -0.00000230
     -0.00010482       0.00000100
     -0.00003699       0.00000028
     -0.00066886       0.00003499
     -0.00005165       0.00000066
     -0.00010141      -0.00000085
     -0.00033919      -0.00001498
     -0.00012787      -0.00000100
     -0.00018047      -0.00000259
     -0.00005908      -0.00000123
     -0.00021531      -0.00000533
     -0.00085091       0.00000132
     -0.00007992       0.00000009
     -0.00004060      -0.00000046
     -0.00004074      -0.00000048
     -0.00013139      -0.00000080
     -0.00006529       0.00000033
     -0.00007807       0.00000102
     -0.00006809      -0.00000022
     -0.00003641      -0.00000021
     -0.00029436      -0.00000741
     -0.00006895       0.00000004
     -0.00015326      -0.00000182
     -0.00015720      -0.00000055
     -0.00003521      -0.00000031
     -0.00016805       0.00000107
     -0.00024689      -0.00000139
     -0.00003886       0.00000032
     -0.00004823       0.00000047
     -0.00003929      -0.00000001
     -0.00007216       0.00000067
     -0.00024498      -0.00000336
     -0.00011113       0.00000045
     -0.00020182       0.00000495
     -0.00004913       0.00000044
     -0.00003756      -0.00000054
     -0.00030857      -0.00000966
     -0.00010400       0.00000072
     -0.00006575      -0.00000026
     -0.00047855      -0.00003174
     -0.00019674      -0.00000271
     -0.00014453      -0.00000166
     -0.00001746      -0.00000009
     -0.00056179      -0.00000896
     -0.00027843      -0.00001644
     -0.00021192       0.00000442
     -0.00007014      -0.00000122
     -0.00104012       0.00000532
     -0.00003914       0.00000034
     -0.00007968      -0.00000096
     -0.00021386      -0.00000612
     -0.00005645      -0.00000046
     -0.00006329      -0.00000078
     -0.00003575      -0.00000039
     -0.00004104       0.00000038
     -0.00044674      -0.00001061
     -0.00010952      -0.00000044
     -0.00014286      -0.00000305
     -0.00016032       0.00000124
     -0.00008884      -0.00000070
     -0.00003706       0.00000015
     -0.00046100      -0.00000713
     -0.00010186       0.00000027
     -0.00009167      -0.00000157
     -0.00005802      -0.00000052
     -0.00025613       0.00000220
     -0.00008234       0.00000085
     -0.00035913       0.00000550
     -0.00003890      -0.00000045
     -0.00044721       0.00000779
     -0.00008672      -0.00000150
     -0.00004248       0.00000006
     -0.00003123      -0.00000022
     -0.00021551      -0.00000561
